YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,50.5,5.1,-0.7,2.2,55.25
2009,1,69.7,6.5,0.8,3.6,62.08
2009,2,39.5,11.0,1.9,6.5,143.85
2009,3,22.1,15.0,4.9,9.9,180.78
2009,4,27.7,17.5,7.1,12.3,220.22
2009,5,46.8,20.0,9.5,14.7,198.09
2009,6,72.1,21.7,11.7,16.7,203.74
2009,7,40.0,23.1,12.4,17.8,205.83
2009,8,12.0,19.5,10.3,14.9,149.31
2009,9,44.8,15.0,7.8,11.4,81.96
2009,10,118.0,11.4,5.9,8.7,80.26
2009,11,79.4,5.6,0.1,2.9,71.5
2010,0,43.3,3.0,-1.2,0.9,55.76
2010,1,93.4,5.3,-0.1,2.6,57.8
2010,2,37.4,9.9,2.2,6.0,113.31
2010,3,13.1,14.1,3.2,8.6,210.69
2010,4,27.0,15.5,5.3,10.4,190.06
2010,5,24.8,21.0,9.5,15.3,225.66
2010,6,21.7,24.0,13.0,18.5,181.4
2010,7,124.4,20.4,11.7,16.1,134.8
2010,8,52.7,18.1,9.7,13.9,120.67
2010,9,68.1,13.9,7.2,10.6,114.31
2010,10,40.0,7.7,2.6,5.1,49.47
2010,11,28.6,2.2,-3.3,-0.5,34.84
2011,0,75.4,6.2,1.8,4.0,38.86
2011,1,39.4,8.7,3.4,6.0,34.1
2011,2,5.8,10.6,1.9,6.3,116.28
2011,3,5.8,18.0,5.8,11.9,213.13
2011,4,11.8,18.0,7.1,12.5,232.67
2011,5,70.1,19.7,9.3,14.5,198.1
2011,6,51.2,20.1,10.4,15.2,152.94
2011,7,76.0,20.7,11.4,16.1,140.56
2011,8,18.9,20.5,10.8,15.6,166.04
2011,9,26.5,16.9,8.7,12.8,150.44
2011,10,45.2,12.4,5.9,9.1,65.15
2011,11,66.2,8.4,2.2,5.3,62.46
2012,0,53.6,8.4,2.1,5.3,76.76
2012,1,20.3,6.5,-0.4,3.0,89.71
2012,2,25.7,12.6,2.4,7.5,151.19
2012,3,121.9,11.6,2.9,7.2,135.6
2012,4,61.0,16.3,7.5,11.9,164.89
2012,5,116.5,17.9,9.6,13.7,144.18
2012,6,108.9,20.4,11.2,15.8,153.67
2012,7,45.1,22.5,12.5,17.5,174.96
2012,8,42.6,18.7,8.2,13.5,169.9
2012,9,109.7,13.0,6.6,9.8,88.1
2012,10,78.0,9.6,3.5,6.5,79.83
2012,11,124.7,7.4,1.2,4.3,49.16
2013,0,49.1,5.2,0.0,2.6,52.04
2013,1,37.9,5.1,-0.1,2.5,62.07
2013,2,50.8,5.2,-0.3,2.5,61.34
2013,3,33.2,12.2,2.7,7.5,177.14
2013,4,48.9,15.0,5.3,10.2,182.25
2013,5,24.5,18.3,9.0,13.7,171.23
2013,6,59.9,24.5,12.2,18.3,274.86
2013,7,64.9,22.9,12.3,17.6,210.4
2013,8,50.4,18.2,9.3,13.7,133.05
2013,9,95.1,15.5,9.0,12.2,89.2
2013,10,61.7,9.0,3.3,6.1,75.66
2013,11,73.5,9.0,2.2,5.6,59.11
2014,0,126.5,8.6,2.5,5.6,65.38
2014,1,107.0,9.2,3.1,6.2,98.73
2014,2,27.6,12.8,2.9,7.9,159.41
2014,3,24.7,15.1,5.8,10.5,152.13
2014,4,86.6,16.8,7.8,12.3,178.74
2014,5,31.3,20.2,9.9,15.0,212.72
2014,6,153.9,23.8,13.0,18.4,242.67
2014,7,112.0,20.6,11.0,15.8,188.27
2014,8,22.4,20.0,10.7,15.4,132.28
2014,9,75.8,16.4,9.6,13.0,114.06
2014,10,100.6,11.3,5.7,8.5,58.96
2014,11,49.3,7.9,2.0,4.9,85.71
2015,0,69.0,7.3,0.7,4.0,68.93
2015,1,44.2,6.8,0.7,3.7,86.41
2015,2,23.9,10.4,2.4,6.4,140.15
2015,3,31.0,14.1,3.5,8.8,209.1
2015,4,44.6,15.9,6.4,11.1,182.98
2015,5,14.9,19.9,8.9,14.4,221.5
2015,6,80.2,22.1,11.7,16.9,199.08
2015,7,106.0,21.5,12.1,16.8,150.77
2015,8,55.6,17.2,8.3,12.8,182.08
2015,9,40.4,14.5,7.5,11.0,103.52
2015,10,78.1,12.5,6.2,9.4,39.17
2015,11,55.3,12.4,7.1,9.8,43.78
2016,0,70.0,8.0,1.7,4.9,54.2
2016,1,24.0,8.0,1.3,4.7,90.2
2016,2,65.0,9.4,1.7,5.5,121.8
2016,3,48.5,11.9,2.9,7.5,178.2
2016,4,51.6,17.4,7.5,12.5,213.0
2016,5,123.6,19.4,10.8,15.1,141.8
2016,6,19.9,22.7,12.4,17.5,218.6
2016,7,26.5,23.5,12.5,18.0,230.1
2016,8,30.6,21.4,12.3,16.9,149.6
2016,9,18.9,14.7,7.2,10.9,116.7
2016,10,74.6,9.2,2.6,5.8,87.4
2016,11,16.4,8.8,1.9,5.4,61.0
2017,0,44.18,6.2,-0.2,3.0,76.15
2017,1,31.86,8.7,3.2,5.9,50.84
2017,2,32.37,12.9,4.7,8.8,133.83
2017,3,12.95,14.1,4.0,9.0,190.31
2017,4,66.24,18.1,8.4,13.2,184.9
2017,5,76.72,21.7,11.8,16.7,235.02
2017,6,83.29,22.0,12.7,17.3,188.96
2017,7,71.68,21.2,11.5,16.3,196.75
2017,8,39.31,18.0,9.4,13.7,129.94
2017,9,17.27,15.9,8.9,12.4,94.0
2017,10,30.45,9.6,3.3,6.4,83.18
2017,11,92.95,7.2,1.5,4.3,61.08
