YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,46.8,6.2,0.2,3.2,59
2009,1,28.6,7.3,1.5,4.1,63.67
2009,2,22.1,11.1,2.7,6.9,175.52
2009,3,35.9,14.3,4.3,9.3,159.23
2009,4,46.7,16.2,6.5,11.4,224.01
2009,5,68.4,18.9,8.8,13.8,175.87
2009,6,144.8,20.2,11.1,15.7,185.21
2009,7,52.1,20.7,11.9,16.3,167.28
2009,8,20.2,18.0,9.6,13.8,131.27
2009,9,33.2,14.3,6.9,10.6,95.22
2009,10,145.9,10.5,4.6,7.5,74.25
2009,11,68.9,5.2,-1.1,2.0,60.33
2010,0,48.2,3.6,-1.9,0.9,63.2
2010,1,63.6,4.7,-1.1,1.8,52.69
2010,2,52.8,10.0,1.5,5.8,139.98
2010,3,10.4,13.7,3.5,8.6,160.12
2010,4,17.5,15.3,4.8,10.0,202.28
2010,5,44.5,19.9,9.1,14.5,227.76
2010,6,70.8,20.7,11.8,16.3,144.49
2010,7,33.5,19.5,10.0,14.7,161.67
2010,8,68.6,17.9,9.7,13.8,139.29
2010,9,52.4,13.3,6.1,9.7,108.78
2010,10,90.7,7.6,1.7,4.6,80.14
2010,11,27.5,2.4,-5.4,-1.5,75.09
2011,0,37.7,6.4,0.3,3.3,71.79
2011,1,68.4,8.7,3.1,5.9,62.63
2011,2,15.3,10.7,1.7,6.2,151.58
2011,3,5.9,16.5,5.3,10.9,228.11
2011,4,36.5,16.3,7.1,11.7,206.46
2011,5,61.1,18.8,8.5,13.7,195.67
2011,6,80.4,19.9,9.4,14.7,172.49
2011,7,103.1,19.2,10.3,14.7,145.52
2011,8,36.4,18.6,10.2,14.3,135.8
2011,9,56.4,15.2,8.1,11.6,93.03
2011,10,26.6,11.8,5.8,8.8,46.55
2011,11,51.0,7.9,2.3,5.1,46.32
2012,0,36.8,7.8,1.3,4.6,67.98
2012,1,14.8,7.7,1.2,4.5,66.38
2012,2,11.8,13.5,2.9,8.2,195.37
2012,3,132.8,10.6,2.7,6.7,94.47
2012,4,63.9,15.2,5.8,10.5,193.73
2012,5,117.9,16.6,9.0,12.8,92.12
2012,6,96.1,18.7,11.1,14.9,123.42
2012,7,91.1,20.4,11.2,15.8,151.62
2012,8,121.3,17.0,8.5,12.7,150.05
2012,9,73.3,12.4,4.3,8.4,112.05
2012,10,106.2,9.4,2.9,6.1,70.67
2012,11,87.6,6.6,1.0,3.8,55.32
2013,0,49.9,5.8,0.9,3.3,43.79
2013,1,21.5,6.0,0.2,3.1,78.69
2013,2,56.4,5.2,-0.5,2.3,68.68
2013,3,18.6,11.3,2.9,7.1,151.3
2013,4,74.4,15.2,5.9,10.5,176.75
2013,5,29.1,18.5,8.3,13.4,182.86
2013,6,76.6,23.7,12.0,17.8,245.37
2013,7,58.7,21.2,11.7,16.4,174.84
2013,8,46.2,17.4,8.7,13.1,131.68
2013,9,93.5,14.9,8.9,11.9,73.31
2013,10,50.4,9.3,1.8,5.5,94.96
2013,11,61.4,9.2,3.0,6.1,51.24
2014,0,101.9,7.5,2.3,4.9,43.38
2014,1,73.4,8.7,3.0,5.8,76.09
2014,2,30.6,11.3,2.8,7.0,127.24
2014,3,41.5,13.9,5.5,9.7,123.34
2014,4,83.6,16.0,7.8,11.9,149.68
2014,5,33.5,19.3,9.9,14.6,148.09
2014,6,49.1,22.5,11.2,16.8,229.45
2014,7,80.8,19.0,10.1,14.6,188.37
2014,8,14.6,18.6,9.3,14.0,108.78
2014,9,57.8,15.1,7.9,11.5,80.73
2014,10,57.7,10.6,4.8,7.7,42.73
2014,11,22.0,7.9,1.7,4.8,87.73
2015,0,41.2,6.9,1.3,4.1,76.3
2015,1,21.6,7.5,0.7,4.1,99.28
2015,2,47.5,10.0,2.0,6.0,127.35
2015,3,23.0,13.8,2.8,8.3,230.95
2015,4,68.1,14.7,6.1,10.4,198.45
2015,5,24.2,18.5,7.7,13.1,213.48
2015,6,93.2,19.8,10.3,15.0,188.42
2015,7,70.8,20.2,10.9,15.5,187.34
2015,8,35.4,16.9,7.0,12.0,162.68
2015,9,82.1,14.3,5.8,10.1,87.24
2015,10,102.2,11.6,5.5,8.6,48.94
2015,11,124.3,11.5,5.1,8.3,38.79
2016,0,81.0,7.6,2.2,4.9,31.8
2016,1,39.8,7.8,0.8,4.3,103
2016,2,51.6,9.6,2.1,5.9,114.6
2016,3,70.6,11.2,2.6,6.9,161.1
2016,4,27.4,16.0,6.8,11.4,190.2
2016,5,73.2,18.3,9.7,14.0,142.6
2016,6,29.8,21.0,11.9,16.5,204.1
2016,7,77.4,20.6,11.8,16.2,181.7
2016,8,46.4,19.6,11.4,15.5,142.3
2016,9,34.9,13.9,6.5,10.2,94.4
2016,10,79.6,8.3,1.4,4.9,75.7
2016,11,36.3,9.3,2.6,6.0,49.1
2017,0,26.46,6.7,0.8,3.8,61.19
2017,1,44.67,8.7,2.8,5.7,58.47
2017,2,56.32,12.0,4.1,8.0,140.82
2017,3,19.37,13.5,3.9,8.7,186.77
2017,4,27.5,17.6,7.4,12.5,217.31
2017,5,106.68,19.5,11.2,15.4,178.34
2017,6,79.0,20.2,11.1,15.6,188.3
2017,7,55.26,19.7,10.9,15.3,182.51
2017,8,80.61,17.2,9.3,13.2,120.12
2017,9,48.6,15.4,8.8,12.1,89.98
2017,10,49.82,9.7,2.6,6.2,94.04
2017,11,29.15,7.3,0.9,4.1,74.01
