YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,43.6,5.7,0.6,3.2,48.91
2009,1,51.3,6.9,1.9,4.4,57.37
2009,2,32.0,11.1,2.6,6.9,147.53
2009,3,7.6,14.7,5.7,10.2,175.55
2009,4,52.8,17.5,8.2,12.8,226.8
2009,5,40.4,19.1,10.4,14.8,203.43
2009,6,84.2,21.6,11.8,16.8,215.58
2009,7,32.0,23.3,12.8,18.0,210.73
2009,8,9.5,19.6,10.7,15.2,154.11
2009,9,46.5,15.2,8.3,11.8,85.37
2009,10,82.5,11.7,6.1,8.9,74.77
2009,11,78.7,5.9,0.8,3.3,61.31
2010,0,57.6,3.7,-0.5,1.6,40.79
2010,1,72.4,5.4,0.3,2.8,52.93
2010,2,43.7,10.4,2.7,6.5,115.65
2010,3,20.3,14.1,4.3,9.2,215.05
2010,4,16.8,15.6,6.4,11.0,244.92
2010,5,40.8,20.0,10.6,15.3,226.59
2010,6,25.4,23.5,13.5,18.5,189.39
2010,7,140.9,20.4,12.0,16.2,169.77
2010,8,61.0,18.4,10.3,14.3,130.35
2010,9,53.0,14.2,8.0,11.1,99.33
2010,10,36.6,8.4,3.2,5.8,59.06
2010,11,34.7,2.6,-2.6,0.0,47.49
2011,0,50.1,6.5,1.9,4.2,47.33
2011,1,48.2,9.1,4.0,6.5,41.86
2011,2,3.8,10.9,2.7,6.8,109.88
2011,3,5.6,16.9,6.7,11.8,203.11
2011,4,27.2,18.2,8.1,13.2,223.86
2011,5,58.5,19.6,10.0,14.8,204.42
2011,6,57.3,19.9,10.9,15.4,170.24
2011,7,55.0,21.1,11.6,16.3,146.64
2011,8,30.3,20.9,11.3,16.1,163.4
2011,9,28.8,17.2,9.1,13.2,137.39
2011,10,50.9,12.6,6.8,9.7,64.94
2011,11,50.7,8.4,2.7,5.6,61.31
2012,0,37.4,8.5,2.6,5.6,67.88
2012,1,19.5,7.0,0.5,3.8,69.03
2012,2,26.8,12.4,3.0,7.7,150.78
2012,3,112.9,11.4,4.0,7.7,130.35
2012,4,38.7,15.6,7.9,11.8,172.81
2012,5,133.5,17.7,10.1,13.9,142.01
2012,6,111.4,20.1,11.6,15.8,171.82
2012,7,43.0,22.5,12.7,17.6,193.06
2012,8,40.3,18.6,8.7,13.7,160.08
2012,9,71.2,13.2,6.7,9.9,90.99
2012,10,93.9,9.7,4.0,6.9,64.17
2012,11,90.7,7.5,2.1,4.8,47.55
2013,0,49.3,5.5,0.4,2.9,40.42
2013,1,26.4,5.5,0.9,3.2,62.47
2013,2,44.9,5.6,0.4,3.0,67.92
2013,3,21.1,12.5,3.4,8.0,195.41
2013,4,45.7,15.2,6.1,10.6,189.9
2013,5,15.3,17.7,9.8,13.8,161.52
2013,6,34.2,23.2,12.7,17.9,239.64
2013,7,46.5,22.9,12.7,17.8,215.12
2013,8,37.6,18.7,9.8,14.2,140.35
2013,9,106.5,16.1,9.8,12.9,89.25
2013,10,48.5,9.4,3.6,6.5,73.63
2013,11,32.8,9.2,2.8,6.0,59.24
2014,0,92.0,8.4,3.0,5.7,57.02
2014,1,51.8,9.6,3.8,6.7,93.35
2014,2,20.3,12.6,3.3,7.9,135.44
2014,3,17.8,14.7,6.8,10.8,138.06
2014,4,91.3,17.3,9.0,13.1,163.01
2014,5,52.7,19.5,10.5,15.0,189.72
2014,6,57.2,22.8,13.1,18.0,199.74
2014,7,96.5,20.7,11.2,16.0,194.54
2014,8,15.5,19.5,10.9,15.2,119.59
2014,9,78.9,16.5,9.8,13.2,99.07
2014,10,76.5,11.5,6.1,8.8,44.1
2014,11,53.1,8.1,2.7,5.4,70.53
2015,0,45.6,7.3,1.2,4.3,72.06
2015,1,45.7,7.2,1.3,4.2,88.56
2015,2,27.7,10.5,2.8,6.6,130.92
2015,3,17.1,13.9,4.4,9.2,213.92
2015,4,56.9,15.9,7.1,11.5,180.33
2015,5,30.3,19.3,9.3,14.3,194.61
2015,6,89.3,21.7,11.6,16.7,184.73
2015,7,64.9,21.9,12.3,17.1,157.05
2015,8,36.9,17.8,8.7,13.3,166.17
2015,9,50.6,14.8,8.1,11.5,85.92
2015,10,57.3,12.6,6.3,9.4,38.25
2015,11,55.1,12.6,7.1,9.8,39.55
2016,0,75.8,8.2,2.6,5.4,42.6
2016,1,34.6,8.6,1.9,5.3,98.8
2016,2,71.9,9.4,2.5,6.0,124.6
2016,3,63.6,11.9,3.5,7.7,185.5
2016,4,51.1,16.7,8.1,12.4,222.9
2016,5,96.5,18.5,11.1,14.8,132.5
2016,6,46.6,22.5,12.4,17.4,225.8
2016,7,42.0,23.1,12.7,17.9,224.3
2016,8,52.8,21.1,12.8,17.0,152.9
2016,9,54.1,14.8,8.0,11.4,112.7
2016,10,64.8,9.4,3.0,6.2,76.1
2016,11,22.4,8.9,2.9,5.9,63.6
2017,0,40.85,6.2,0.8,3.5,61.42
2017,1,47.05,9.1,4.0,6.5,63.11
2017,2,40.28,12.7,5.2,9.0,139.76
2017,3,20.4,13.8,4.4,9.1,196.45
2017,4,66.0,17.8,9.2,13.5,204.79
2017,5,87.95,21.3,12.6,17.0,213.63
2017,6,81.76,21.6,12.5,17.1,190.88
2017,7,45.92,21.4,11.7,16.6,209.04
2017,8,73.01,18.3,9.8,14.0,110.49
2017,9,17.85,16.1,9.7,12.9,97.94
2017,10,52.22,10.0,3.9,6.9,90.29
2017,11,85.24,7.4,2.2,4.8,73.64
