YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,77.7,5.6,-1.1,2.2,59.39
2009,1,61.3,6.6,0.7,3.5,53.92
2009,2,30.0,11.4,1.9,6.7,168.42
2009,3,44.8,14.1,4.5,9.3,171.31
2009,4,50.5,16.5,6.6,11.5,219.37
2009,5,51.4,20.0,9.4,14.7,207.46
2009,6,118.5,20.4,11.4,15.9,193.0
2009,7,78.7,21.0,11.6,16.3,182.8
2009,8,23.5,18.5,9.6,14.1,156.95
2009,9,75.1,15.0,7.5,11.2,103.88
2009,10,201.4,10.7,5.6,8.1,71.44
2009,11,93.0,5.6,-0.1,2.7,60.4
2010,0,90.0,3.7,-1.5,1.1,66.95
2010,1,57.2,5.9,0.4,3.1,59.11
2010,2,66.9,9.8,1.9,5.8,132.89
2010,3,28.8,14.2,3.3,8.8,219.19
2010,4,46.3,16.1,6.1,11.1,212.56
2010,5,34.7,20.7,9.3,15.0,264.4
2010,6,31.9,22.1,12.3,17.2,169.51
2010,7,138.7,19.9,10.8,15.4,152.7
2010,8,49.4,18.0,9.0,13.5,138.75
2010,9,59.5,13.9,6.2,10.0,126.59
2010,10,67.6,7.7,2.0,4.9,64.41
2010,11,34.5,2.3,-3.1,-0.4,44.04
2011,0,74.9,6.2,0.9,3.5,53.72
2011,1,75.2,8.7,3.3,6.0,42.26
2011,2,12.2,11.3,2.9,7.1,145.32
2011,3,3.1,17.7,6.4,12.1,216.97
2011,4,44.4,16.9,7.1,12.0,209.21
2011,5,76.9,18.6,8.4,13.5,187.67
2011,6,45.1,20.3,10.1,15.2,167.39
2011,7,55.5,19.8,10.8,15.3,151.42
2011,8,50.0,19.5,10.7,15.1,147.66
2011,9,43.5,16.5,8.3,12.4,127.87
2011,10,41.8,12.2,6.2,9.2,62.45
2011,11,113.8,8.6,1.9,5.3,62.94
2012,0,64.1,8.3,2.1,5.2,72.72
2012,1,28.0,6.9,0.1,3.5,73.53
2012,2,28.4,12.8,3.0,7.9,179.27
2012,3,142.6,11.2,2.6,6.9,130.03
2012,4,51.9,16.5,6.9,11.7,194.31
2012,5,188.5,17.2,9.6,13.4,115.64
2012,6,105.0,20.0,10.8,15.4,180.03
2012,7,132.4,20.6,12.1,16.3,157.06
2012,8,73.6,17.8,7.8,12.8,172.09
2012,9,114.8,12.5,6.1,9.3,88.55
2012,10,166.4,9.3,3.1,6.2,71.77
2012,11,180.0,7.7,1.5,4.6,63.09
2013,0,83.1,5.7,0.8,3.2,54.41
2013,1,42.7,5.3,0.0,2.7,68.62
2013,2,84.3,5.7,-0.5,2.6,75.85
2013,3,31.3,11.7,2.7,7.2,162.08
2013,4,82.0,14.6,4.9,9.8,191.62
2013,5,29.9,18.0,8.9,13.5,188.72
2013,6,33.7,24.8,12.5,18.7,304.06
2013,7,41.3,21.6,11.7,16.6,169.77
2013,8,52.9,18.8,9.0,13.9,122.07
2013,9,164.3,15.4,8.8,12.1,92.42
2013,10,74.3,9.4,2.0,5.7,84.01
2013,11,143.4,9.3,1.4,5.4,59.39
2014,0,199.7,8.3,1.2,4.8,66.57
2014,1,146.1,8.8,2.4,5.6,84.55
2014,2,41.5,12.0,2.5,7.2,131.24
2014,3,65.8,14.1,5.3,9.7,145.63
2014,4,96.9,16.4,7.4,11.9,179.79
2014,5,54.8,20.2,10.2,15.2,231.84
2014,6,62.9,23.9,12.0,17.9,267.76
2014,7,107.7,20.1,9.8,14.9,180.67
2014,8,23.5,20.4,10.6,15.5,136.51
2014,9,90.2,15.8,8.4,12.1,92.24
2014,10,108.1,11.3,4.8,8.0,63.52
2014,11,59.6,8.2,1.5,4.9,82.66
2015,0,97.5,7.7,0.5,4.1,80.8
2015,1,54.5,7.1,0.3,3.7,80.13
2015,2,32.1,10.2,2.1,6.2,134.11
2015,3,16.7,15.4,4.0,9.7,228.78
2015,4,76.3,16.1,6.1,11.1,182.94
2015,5,43.0,19.8,8.9,14.3,239.2
2015,6,62.6,21.0,10.6,15.8,191.8
2015,7,88.1,20.0,10.8,15.4,140.82
2015,8,56.5,17.6,7.7,12.6,179.1
2015,9,59.2,14.4,7.3,10.9,90.35
2015,10,117.9,12.0,6.1,9.1,32.67
2015,11,114.1,12.0,7.0,9.5,35.27
2016,0,111.9,8.4,1.6,5.0,55.2
2016,1,89.7,8.1,1.2,4.7,96.6
2016,2,118.9,9.4,0.9,5.2,130.7
2016,3,60.5,12.0,2.6,7.3,165.1
2016,4,95.1,17.4,7.6,12.5,210.7
2016,5,88.3,19.3,11.0,15.1,116.4
2016,6,20.8,21.6,11.6,16.6,193.3
2016,7,55.7,22.4,11.9,17.1,205.3
2016,8,47.2,20.0,11.5,15.7,126.0
2016,9,28.7,14.3,6.8,10.5,119.6
2016,10,125.2,9.1,2.2,5.7,88.3
2016,11,38.5,8.8,2.0,5.4,60.5
2017,0,64.22,7.0,0.2,3.6,69.12
2017,1,54.22,8.5,2.9,5.7,43.36
2017,2,61.33,12.5,4.7,8.6,119.5
2017,3,10.24,14.0,2.8,8.4,198.77
2017,4,61.49,17.9,8.3,13.1,194.67
2017,5,60.74,20.8,11.0,15.9,206.69
2017,6,93.15,22.1,12.1,17.1,189.26
2017,7,69.69,20.5,10.6,15.6,177.04
2017,8,79.55,17.7,9.1,13.4,127.54
2017,9,38.22,15.4,8.5,11.9,89.1
2017,10,71.02,10.2,2.5,6.3,93.87
2017,11,131.63,7.5,1.4,4.5,55.35
