YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,138.8,8.4,2.5,5.5,46.91
2009,1,100.7,9.3,2.8,6.0,54.49
2009,2,47.4,11.9,4.7,8.3,190.59
2009,3,89.8,13.6,5.8,9.7,192.28
2009,4,33.9,16.1,8.6,12.3,227.66
2009,5,25.5,19.2,11.0,15.1,239.9
2009,6,182.3,20.2,12.9,16.5,177.47
2009,7,50.2,20.5,13.0,16.8,155.46
2009,8,30.1,18.7,11.4,15.1,167.57
2009,9,110.0,16.6,10.2,13.4,98.01
2009,10,199.5,13.5,8.1,10.8,71.07
2009,11,141.1,9.1,2.7,5.9,65.06
2010,0,119.3,7.3,0.6,3.9,83.72
2010,1,106.9,8.5,2.5,5.5,64.48
2010,2,70.2,10.5,3.6,7.0,129.05
2010,3,27.3,13.5,4.9,9.2,227.5
2010,4,19.0,15.5,7.4,11.5,190.59
2010,5,24.9,20.5,10.7,15.6,284.84
2010,6,64.6,21.9,13.4,17.7,166.57
2010,7,111.8,20.2,12.4,16.3,135.04
2010,8,81.8,18.6,11.0,14.8,138.09
2010,9,84.7,15.5,8.6,12.0,134.64
2010,10,105.5,11.0,4.2,7.6,69.06
2010,11,58.0,6.2,-0.5,2.8,64.98
2011,0,146.9,8.8,3.4,6.1,56.1
2011,1,90.8,11.5,5.3,8.4,47.55
2011,2,30.3,11.2,4.4,7.8,142.7
2011,3,20.3,16.1,8.0,12.0,226.64
2011,4,18.6,16.5,8.9,12.7,180.45
2011,5,75.0,18.8,10.6,14.7,203.29
2011,6,47.9,20.0,11.9,15.9,184.41
2011,7,89.7,19.9,11.9,15.9,163.41
2011,8,51.7,19.3,12.6,16.0,138.52
2011,9,90.3,16.7,10.4,13.5,99.88
2011,10,59.5,14.4,9.0,11.7,59.82
2011,11,131.0,11.1,5.2,8.1,40.72
2012,0,81.3,10.4,4.9,7.7,60.37
2012,1,30.6,9.5,2.7,6.1,62.21
2012,2,34.2,12.8,5.6,9.2,159.04
2012,3,162.9,12.3,5.0,8.6,183.5
2012,4,51.7,15.9,8.4,12.2,223.5
2012,5,158.4,17.1,11.1,14.1,111.44
2012,6,143.2,19.0,12.0,15.5,171.94
2012,7,137.0,20.3,13.4,16.9,164.57
2012,8,83.8,17.9,10.2,14.1,162.71
2012,9,144.8,14.9,8.4,11.7,89.03
2012,10,195.3,12.0,5.3,8.6,75.46
2012,11,233.3,10.7,4.8,7.8,54.65
2013,0,162.2,9.0,3.9,6.5,30.2
2013,1,48.2,8.1,2.3,5.2,63.38
2013,2,135.9,7.9,2.5,5.2,72.56
2013,3,45.5,11.6,4.6,8.1,153.79
2013,4,53.0,15.2,6.4,10.8,230.11
2013,5,39.6,17.6,10.9,14.2,218.26
2013,6,34.9,22.3,13.2,17.7,285.62
2013,7,43.2,21.7,13.1,17.4,206.92
2013,8,88.2,19.0,11.3,15.2,112.51
2013,9,214.3,17.1,11.1,14.1,99.83
2013,10,98.8,11.5,5.3,8.4,87.05
2013,11,203.4,11.3,5.1,8.2,39.99
2014,0,238.9,10.8,4.0,7.4,48.98
2014,1,186.0,10.8,4.1,7.5,101.6
2014,2,83.4,12.2,4.7,8.4,128.42
2014,3,87.3,13.7,6.4,10.1,164.63
2014,4,62.5,16.1,8.9,12.5,199.78
2014,5,38.9,20.0,12.1,16.0,245.05
2014,6,36.4,22.7,13.5,18.1,248.66
2014,7,126.8,20.3,11.3,15.8,200.29
2014,8,3.9,19.3,13.4,16.3,136.2
2014,9,151.5,16.9,10.9,13.9,78.63
2014,10,145.1,13.4,7.2,10.3,50.59
2014,11,56.8,10.7,4.2,7.4,60.58
2015,0,164.9,10.4,3.5,6.9,62.7
2015,1,104.6,9.3,2.4,5.8,82.87
2015,2,45.3,11.1,4.5,7.8,127.98
2015,3,29.4,14.0,6.0,10.0,204.15
2015,4,79.0,15.9,8.3,12.1,185.85
2015,5,43.9,18.7,9.9,14.3,244.11
2015,6,116.2,20.7,12.5,16.6,172.07
2015,7,153.7,20.1,12.2,16.2,135.39
2015,8,52.4,18.0,10.4,14.2,181.42
2015,9,75.0,15.6,9.4,12.5,106.89
2015,10,124.2,14.0,8.9,11.4,24.78
2015,11,118.1,13.9,9.7,11.8,23.47
2016,0,220.3,11.2,4.8,8.0,58.9
2016,1,116.0,10.5,3.7,7.1,62.3
2016,2,97.7,10.9,3.3,7.1,139.0
2016,3,62.9,12.4,4.5,8.4,153.9
2016,4,43.5,16.4,8.6,12.5,194.8
2016,5,111.5,18.6,12.0,15.3,138.8
2016,6,17.4,21.5,13.2,17.4,182.9
2016,7,71.6,21.4,13.1,17.2,213.0
2016,8,105.6,20.0,13.3,16.7,133.4
2016,9,88.7,15.6,9.1,12.3,131.4
2016,10,139.7,12.2,5.4,8.8,73.4
2016,11,33.0,11.9,5.7,8.8,42.3
2017,0,96.43,9.9,3.6,6.7,72.88
2017,1,72.15,11.0,4.9,8.0,54.78
2017,2,92.49,12.7,6.5,9.6,98.82
2017,3,40.25,14.9,5.0,10.0,214.74
2017,4,51.91,16.3,9.7,13.0,183.88
2017,5,90.01,19.6,11.9,15.7,209.88
2017,6,93.04,21.5,13.4,17.5,198.22
2017,7,71.42,20.7,11.8,16.2,182.09
2017,8,165.4,18.3,11.1,14.7,130.82
2017,9,57.59,16.6,10.2,13.4,98.7
2017,10,68.33,12.5,5.3,8.8,90.36
2017,11,145.0,10.5,4.1,7.3,58.71
