YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,42.4,5.7,0.3,3,45.39
2009,1,60.7,6.9,1.5,4.2,60.67
2009,2,21.1,11.4,2.5,6.9,157.15
2009,3,12.6,14.9,5.2,10,172.11
2009,4,38.6,17.7,7.8,12.7,226.53
2009,5,45.5,19.8,10.1,15,206.1
2009,6,113.1,21.8,11.7,16.8,205.27
2009,7,78.6,23.0,12.5,17.8,201.1
2009,8,17.3,19.5,10.3,14.9,154.02
2009,9,43.5,15.3,7.7,11.5,92.49
2009,10,75.9,11.6,5.6,8.5,86.39
2009,11,68.5,5.5,-0.1,2.7,78.38
2010,0,62.6,3.6,-1.0,1.3,57.35
2010,1,63.4,5.3,-0.1,2.6,56.25
2010,2,35.2,10.6,2.3,6.4,129.9
2010,3,16.3,14.6,3.9,9.2,213.14
2010,4,15.8,16.1,6.2,11.1,230.05
2010,5,29.8,20.9,10.3,15.6,236.71
2010,6,48.6,23.5,13.2,18.4,182.27
2010,7,124.3,20.6,11.5,16.1,158.21
2010,8,61.5,18.6,9.8,14.2,133.06
2010,9,44.0,14.1,7.1,10.6,112.01
2010,10,40.6,8.2,2.4,5.3,73.49
2010,11,18.4,2.2,-4.0,-0.9,58.1
2011,0,35.0,6.4,1.2,3.8,52.26
2011,1,56.9,9.2,3.7,6.5,47.75
2011,2,3.1,11.2,2.4,6.8,121.23
2011,3,1.7,17.3,6.3,11.8,221.13
2011,4,27.3,18.3,7.7,13,224.02
2011,5,48.0,20.1,9.5,14.8,210.03
2011,6,46.7,20.6,10.6,15.6,162.94
2011,7,48.4,21.3,11.3,16.3,143.14
2011,8,32.6,21.0,10.9,16,168.19
2011,9,30.3,17.3,8.6,12.9,141.67
2011,10,26.0,12.4,6.1,9.2,60.34
2011,11,44.4,8.5,2.4,5.4,63.29
2012,0,35.9,8.5,2.1,5.3,76.06
2012,1,17.3,7.1,0.3,3.7,77.46
2012,2,31.6,12.8,2.7,7.8,169.79
2012,3,122.6,11.8,3.5,7.6,121.28
2012,4,44.4,16.2,7.5,11.8,186.29
2012,5,108.4,18.2,10.1,14.1,127.4
2012,6,98.8,20.4,11.5,15.9,175.29
2012,7,48.9,22.5,12.2,17.4,176.29
2012,8,44.9,18.7,8.2,13.5,172.63
2012,9,71.8,13.1,5.9,9.5,101.87
2012,10,81.6,9.6,3.3,6.5,68.35
2012,11,95.7,7.3,1.5,4.4,61.61
2013,0,56.3,5.5,0.3,2.9,48.6
2013,1,24.8,5.6,0.5,3.1,74.14
2013,2,51.9,5.6,0.0,2.8,73.17
2013,3,23.1,12.8,3.1,7.9,190.59
2013,4,53.4,15.8,5.9,10.9,195.89
2013,5,30.3,18.5,9.7,14.1,168.45
2013,6,38.7,23.8,12.7,18.2,255.98
2013,7,77.9,23.0,12.4,17.7,202.5
2013,8,22.6,18.9,9.4,14.2,153.67
2013,9,123.3,16.1,9.3,12.7,93.58
2013,10,41.2,9.4,2.8,6.1,85.63
2013,11,32.4,9.2,2.4,5.8,68.7
2014,0,111.9,8.4,2.5,5.4,66.06
2014,1,51.5,9.5,3.4,6.4,98.67
2014,2,19.8,12.7,3.0,7.8,150.64
2014,3,20.0,14.8,6.1,10.4,137.43
2014,4,100.2,17.3,8.5,12.9,176.63
2014,5,39.5,20.2,10.5,15.3,196.48
2014,6,61.8,23.4,12.7,18.1,227.43
2014,7,92.0,20.8,10.8,15.8,192.15
2014,8,10.3,19.7,10.4,15.1,117.68
2014,9,77.3,16.3,9.3,12.8,96.94
2014,10,71.3,11.3,5.3,8.3,50.16
2014,11,59.9,8.0,2.1,5,82.97
2015,0,34.3,7.3,0.9,4.1,82.92
2015,1,36.7,7.1,0.9,4,94.21
2015,2,18.4,10.7,2.5,6.6,141.15
2015,3,14.0,14.5,4.0,9.2,228.66
2015,4,58.6,16.1,6.9,11.5,193.44
2015,5,27.5,19.9,9.1,14.5,218.95
2015,6,58.8,22.0,11.4,16.7,190.51
2015,7,53.5,22.0,11.9,17,159.54
2015,8,24.8,18.0,8.0,13,178.85
2015,9,46.2,14.9,7.5,11.2,92.02
2015,10,45.9,12.5,5.9,9.2,44.08
2015,11,51.5,12.5,6.8,9.6,43.57
2016,0,49.8,8.1,2.1,5.1,48.4
2016,1,31.2,8.6,1.6,5.1,110.5
2016,2,61.9,9.6,2.1,5.9,125.5
2016,3,65.3,12.3,3.0,7.7,178.9
2016,4,47.0,17.2,7.6,12.4,218.0
2016,5,93.1,19.1,11.1,15.1,124.3
2016,6,47.1,22.7,12.3,17.5,217.4
2016,7,39.5,23.2,12.4,17.8,223.2
2016,8,48.4,21.1,12.2,16.7,146.4
2016,9,54.5,14.8,7.4,11.1,111.5
2016,10,61.4,9.2,2.3,5.7,88.0
2016,11,19.4,8.8,2.2,5.5,58.7
2017,0,39.31,6.1,0.4,3.2,55.25
2017,1,39.67,9.0,3.6,6.3,60.83
2017,2,36.91,12.9,4.9,8.9,139.68
2017,3,18.49,14.3,3.9,9.1,185.95
2017,4,69.92,18.2,8.7,13.5,200.61
2017,5,74.61,21.8,12.4,17.1,196.46
2017,6,75.14,22.0,12.4,17.2,183.31
2017,7,47.83,21.4,11.3,16.4,196.63
2017,8,66.59,18.4,9.4,13.9,119.41
2017,9,13.72,16.1,9.3,12.7,96.79
2017,10,47.27,10.1,3.2,6.7,87.75
2017,11,68.96,7.4,1.7,4.5,74.59
