YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,48.1,5.7,0.1,2.9,63.82
2009,1,44.4,6.4,1.0,3.6,61.72
2009,2,37.2,9.9,2.4,6.1,152.11
2009,3,20.1,13.2,4.6,8.9,137.09
2009,4,33.2,15.2,6.0,10.6,234.83
2009,5,70.4,17.3,8.5,12.9,174.88
2009,6,151.6,19.3,10.7,15.0,152.16
2009,7,75.4,19.1,11.3,15.2,142.93
2009,8,98.4,16.3,9.5,12.9,105.43
2009,9,30.8,13.3,6.7,10.0,87.18
2009,10,116.1,9.3,3.9,6.6,64.66
2009,11,86.1,4.3,-1.6,1.4,36.82
2010,0,65.1,3.6,-2.1,0.8,46.72
2010,1,90.8,4.1,-1.7,1.2,54.55
2010,2,90.3,8.6,1.3,4.9,93.09
2010,3,19.2,12.2,3.6,7.9,155.0
2010,4,39.2,14.0,5.0,9.5,200.69
2010,5,27.9,18.5,9.3,13.9,173.67
2010,6,89.4,18.9,10.9,14.9,131.52
2010,7,44.6,18.2,9.4,13.8,142.77
2010,8,81.7,16.3,9.0,12.6,122.77
2010,9,67.5,12.3,5.8,9.0,91.65
2010,10,169.0,6.6,1.4,4.0,60.18
2010,11,52.8,2.1,-4.9,-1.4,45.86
2011,0,54.3,5.4,0.1,2.7,51.69
2011,1,92.2,7.4,1.7,4.6,48.94
2011,2,51.4,9.4,1.8,5.6,110.38
2011,3,9.6,14.9,5.4,10.1,191.4
2011,4,59.6,14.6,6.1,10.4,191.08
2011,5,90.6,16.5,7.9,12.2,130.8
2011,6,86.7,18.2,9.0,13.6,158.51
2011,7,207.4,17.2,9.9,13.6,99.16
2011,8,52.0,16.9,9.7,13.3,133.85
2011,9,82.2,13.7,8.0,10.9,72.83
2011,10,43.0,11.5,5.7,8.6,66.07
2011,11,56.3,6.6,1.4,4.0,37.16
2012,0,26.3,6.8,1.1,4.0,70.42
2012,1,14.4,7.6,2.1,4.8,69.18
2012,2,15.0,12.5,3.6,8.0,145.03
2012,3,132.7,9.3,2.4,5.9,106.64
2012,4,85.5,13.3,5.1,9.2,179.65
2012,5,133.7,15.1,8.2,11.6,102.73
2012,6,166.7,16.7,9.9,13.3,92.45
2012,7,72.2,18.9,10.6,14.7,137.95
2012,8,95.9,15.1,8.2,11.6,142.34
2012,9,91.2,10.6,3.7,7.2,102.6
2012,10,73.0,8.5,2.6,5.5,68.82
2012,11,92.4,5.8,0.7,3.2,39.29
2013,0,73.3,5.5,1.0,3.3,30.32
2013,1,25.8,5.8,-0.2,2.8,88.17
2013,2,64.6,4.4,-0.8,1.8,69.46
2013,3,19.2,9.9,2.5,6.2,167.96
2013,4,47.2,13.9,5.4,9.7,155.58
2013,5,26.3,17.5,8.3,12.9,154.81
2013,6,106.9,21.6,12.0,16.8,216.63
2013,7,25.8,19.4,10.7,15.1,129.06
2013,8,56.4,16.0,8.6,12.3,117.59
2013,9,69.1,13.2,8.4,10.8,64.9
2013,10,22.2,8.0,1.3,4.6,89.4
2013,11,110.1,8.4,3.1,5.7,41.53
2014,0,70.0,6.6,2.0,4.3,34.03
2014,1,85.1,7.2,2.2,4.7,72.64
2014,2,39.8,9.7,3.2,6.4,114.95
2014,3,48.5,12.3,5.1,8.7,125.21
2014,4,60.2,14.6,7.2,10.9,126.45
2014,5,82.2,18.3,10.1,14.2,131.46
2014,6,29.4,20.9,10.7,15.8,206.23
2014,7,108.2,17.6,9.4,13.5,139.41
2014,8,14.4,17.4,9.8,13.6,100.97
2014,9,104.1,13.7,7.3,10.5,82.98
2014,10,58.1,9.9,4.7,7.3,45.0
2014,11,52.4,6.6,1.0,3.8,54.93
2015,0,55.8,6.1,0.5,3.3,63.24
2015,1,25.3,6.6,0.8,3.7,93.67
2015,2,44.0,8.8,2.3,5.6,118.17
2015,3,23.3,12.5,2.7,7.6,216.67
2015,4,61.5,13.1,4.7,8.9,195.0
2015,5,32.3,16.9,8.0,12.4,159.98
2015,6,93.0,17.7,9.6,13.7,128.11
2015,7,48.7,18.8,10.0,14.4,171.48
2015,8,31.7,16.2,7.4,11.8,138.53
2015,9,25.6,13.4,5.9,9.6,91.22
2015,10,130.6,10.1,4.5,7.3,49.08
2015,11,136.5,9.7,3.9,6.8,30.75
2016,0,141.2,6.4,1.6,4.0,24.4
2016,1,57.0,6.0,0.1,3.1,79.1
2016,2,27.7,8.9,2.0,5.4,90.3
2016,3,79.4,9.5,2.4,5.9,149.6
2016,4,23.0,14.4,6.1,10.3,209.5
2016,5,87.7,16.4,8.9,12.6,151.2
2016,6,63.0,18.7,10.6,14.7,146.5
2016,7,52.3,18.8,10.8,14.8,156.6
2016,8,43.8,17.8,10.8,14.3,108.8
2016,9,45.2,12.6,5.8,9.2,94.0
2016,10,72.6,7.3,0.7,4.0,83.5
2016,11,46.9,9.2,3.3,6.2,34.1
2017,0,26.56,6.9,1.0,3.9,67.07
2017,1,56.55,7.7,2.3,5.0,60.13
2017,2,54.99,10.6,3.1,6.8,116.43
2017,3,7.84,12.0,3.7,7.9,170.87
2017,4,23.45,16.2,7.4,11.8,182.79
2017,5,206.52,17.7,10.2,13.9,137.15
2017,6,71.45,17.8,10.4,14.1,150.33
2017,7,92.9,18.3,9.9,14.1,158.04
2017,8,57.18,15.7,9.1,12.4,96.31
2017,9,44.19,13.9,7.7,10.8,82.24
2017,10,46.57,7.5,2.0,4.7,82.98
2017,11,42.61,6.3,0.5,3.4,57.28
