YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,45.9,5.9,0.4,3.1,57.41
2009,1,42.7,6.9,1.3,4.0,64.54
2009,2,20.6,11.3,2.6,7.0,158.28
2009,3,17.0,14.7,5.0,9.8,173.49
2009,4,62.1,16.9,7.6,12.2,220.89
2009,5,32.5,19.5,9.8,14.7,205.92
2009,6,108.9,21.4,11.8,16.6,204.33
2009,7,82.4,22.2,12.6,17.4,192.49
2009,8,21.6,19.1,10.1,14.6,151.12
2009,9,51.5,15.0,7.8,11.4,93.76
2009,10,98.9,11.4,5.2,8.3,92.47
2009,11,59.9,5.4,-0.1,2.6,88.45
2010,0,45.8,3.6,-1.2,1.2,58.94
2010,1,58.3,5.0,-0.4,2.3,50.45
2010,2,40.8,10.6,2.1,6.4,129.55
2010,3,26.6,14.3,3.9,9.1,193.92
2010,4,16.6,15.6,6.1,10.9,229.44
2010,5,49.7,20.5,10.2,15.3,238.32
2010,6,37.8,22.9,13.0,18.0,175.85
2010,7,83.3,20.3,11.3,15.8,163.32
2010,8,74.1,18.4,10.1,14.3,131.72
2010,9,49.2,13.9,6.9,10.4,113.32
2010,10,72.5,7.9,2.4,5.2,77.27
2010,11,28.6,1.7,-4.5,-1.4,58.87
2011,0,32.9,6.5,0.7,3.6,57.62
2011,1,62.6,9.2,3.5,6.4,51.95
2011,2,6.2,11.1,2.6,6.9,122.53
2011,3,6.8,17.3,6.2,11.7,220.96
2011,4,35.4,17.7,7.5,12.6,219.47
2011,5,49.4,19.9,9.3,14.6,219.76
2011,6,59.0,20.8,10.7,15.7,172.59
2011,7,55.1,21.1,11.2,16.1,145.1
2011,8,23.7,20.6,11.1,15.9,160.59
2011,9,39.8,16.8,8.2,12.5,121.79
2011,10,22.0,12.0,5.9,9.0,50.98
2011,11,60.2,8.3,2.1,5.2,60.97
2012,0,39.2,8.5,1.9,5.2,74.25
2012,1,16.7,7.3,0.3,3.8,79.0
2012,2,29.1,13.2,2.9,8.1,180.02
2012,3,132.6,11.4,3.3,7.3,104.23
2012,4,39.0,16.0,7.1,11.5,194.43
2012,5,118.0,17.6,9.9,13.8,115.27
2012,6,82.0,20.1,11.6,15.8,166.57
2012,7,63.3,21.8,12.1,17.0,162.68
2012,8,40.7,18.2,8.4,13.3,166.63
2012,9,68.6,12.8,5.5,9.2,91.84
2012,10,90.1,9.5,3.1,6.3,68.32
2012,11,96.4,7.1,1.2,4.2,69.15
2013,0,41.0,5.7,0.2,2.9,51.29
2013,1,33.2,5.8,0.2,3.0,78.99
2013,2,55.0,5.2,-0.2,2.5,74.42
2013,3,9.0,12.7,3.0,7.9,184.45
2013,4,65.2,15.6,6.1,10.9,192.71
2013,5,42.3,18.3,9.5,13.9,176.02
2013,6,32.3,23.8,12.6,18.2,250.28
2013,7,34.5,23.0,12.3,17.6,196.86
2013,8,22.8,18.7,9.5,14.1,154.88
2013,9,111.1,16.0,9.3,12.6,93.7
2013,10,43.6,9.2,2.4,5.9,90.64
2013,11,33.0,9.3,2.0,5.7,71.49
2014,0,107.0,8.3,2.1,5.2,67.1
2014,1,44.1,9.5,3.0,6.2,96.93
2014,2,34.1,12.4,2.9,7.7,150.77
2014,3,28.8,14.5,5.9,10.2,136.2
2014,4,118.9,16.8,8.3,12.6,176.82
2014,5,47.3,19.6,10.6,15.1,180.13
2014,6,52.2,23.4,12.7,18.0,233.37
2014,7,79.8,20.4,10.9,15.6,189.32
2014,8,16.6,19.3,10.3,14.8,107.91
2014,9,78.7,15.8,8.9,12.4,88.66
2014,10,72.5,11.2,5.2,8.2,53.66
2014,11,51.1,7.9,1.8,4.8,85.15
2015,0,31.6,7.3,0.7,4.0,88.28
2015,1,32.4,7.2,0.6,3.9,101.47
2015,2,23.6,10.7,2.3,6.4,141.99
2015,3,13.5,14.4,3.8,9.1,227.1
2015,4,76.3,15.6,6.7,11.1,187.86
2015,5,36.9,19.3,8.8,14.1,225.96
2015,6,50.7,21.6,11.4,16.5,187.84
2015,7,58.5,21.8,12.1,16.9,170.13
2015,8,38.0,17.6,7.8,12.7,176.14
2015,9,47.3,14.7,7.2,11.0,93.58
2015,10,57.0,12.3,5.6,8.9,50.37
2015,11,50.5,12.4,6.0,9.2,44.73
2016,0,55.5,8.1,1.9,5.0,49.2
2016,1,42.6,8.5,1.2,4.8,116.6
2016,2,68.8,9.6,1.9,5.8,123.6
2016,3,68.9,12.0,2.6,7.3,169.2
2016,4,43.5,16.7,7.2,12.0,205.4
2016,5,119.6,18.8,10.6,14.7,120.6
2016,6,46.2,22.2,12.3,17.3,192.9
2016,7,54.3,22.5,12.5,17.5,214.6
2016,8,50.7,20.5,12.1,16.3,138.1
2016,9,44.2,14.6,7.3,11.0,110.5
2016,10,72.6,8.8,2.2,5.5,93.0
2016,11,23.5,8.9,2.4,5.6,59.7
2017,0,42.13,6.3,0.6,3.5,57.63
2017,1,56.9,8.9,3.4,6.1,59.57
2017,2,54.43,12.7,4.6,8.7,137.95
2017,3,18.18,14.0,3.9,8.9,169.94
2017,4,62.46,17.9,8.4,13.2,202.57
2017,5,83.99,21.0,12.3,16.7,178.52
2017,6,68.27,21.7,12.2,16.9,188.36
2017,7,43.81,20.9,11.5,16.2,196.11
2017,8,106.84,18.0,9.6,13.8,117.38
2017,9,15.58,15.9,9.2,12.6,86.82
2017,10,38.19,9.9,3.2,6.6,83.75
2017,11,57.06,7.3,1.3,4.3,75.92
