YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,68.4,6.2,-0.4,2.7,60.86
2009,1,21.9,7.7,1.5,4.3,50.48
2009,2,27.2,11.6,2.7,7.2,147.39
2009,3,43.1,15.2,5.0,10.1,149.94
2009,4,49.5,17.0,7.1,12.0,199.35
2009,5,96.0,20.3,9.6,14.9,179.92
2009,6,110.4,20.3,11.5,15.9,157.99
2009,7,33.9,20.9,11.7,16.3,177.55
2009,8,18.1,18.7,9.1,13.9,127.59
2009,9,51.9,15.2,7.1,11.1,87.09
2009,10,112.4,11.1,5.2,8.2,61.76
2009,11,48.9,5.4,-0.4,2.5,70.71
2010,0,48.3,4.3,-2.0,1.1,60.67
2010,1,31.8,5.7,-0.6,2.5,54.91
2010,2,42.9,10.4,1.5,6.0,128.9
2010,3,20.4,14.5,3.2,8.8,189.67
2010,4,29.0,16.4,5.7,11.0,197.37
2010,5,50.5,21.3,9.9,15.6,246.06
2010,6,40.8,21.1,12.4,16.8,106.52
2010,7,53.8,19.5,10.5,15.0,149.9
2010,8,57.1,18.0,9.3,13.7,139.69
2010,9,51.3,14.0,5.7,9.8,119.75
2010,10,33.6,8.0,1.2,4.6,74.9
2010,11,24.5,1.6,-5.6,-2.0,40.86
2011,0,40.5,6.3,0.5,3.4,50.71
2011,1,41.6,9.4,3.8,6.6,51.01
2011,2,9.9,11.1,1.8,6.4,135.97
2011,3,3.1,17.3,5.7,11.5,200.57
2011,4,48.7,16.9,7.7,12.3,186.91
2011,5,48.5,19.1,8.2,13.6,205.06
2011,6,43.7,20.6,10.2,15.4,186.99
2011,7,19.6,20.7,11.0,15.8,136.52
2011,8,16.1,20.2,11.0,15.6,143.36
2011,9,37.0,16.6,8.9,12.7,109.87
2011,10,41.9,12.1,6.3,9.2,49.11
2011,11,68.4,9.0,2.7,5.8,50.56
2012,0,44.5,8.6,1.7,5.1,74.99
2012,1,18.3,7.3,0.7,4.0,57.44
2012,2,16.4,13.1,3.2,8.1,159.16
2012,3,143.8,11.3,3.0,7.1,118.83
2012,4,38.1,16.9,6.9,11.9,204.88
2012,5,99.0,17.4,10.1,13.8,102.44
2012,6,123.4,19.8,11.3,15.5,163.12
2012,7,73.0,20.7,12.2,16.4,146.21
2012,8,104.3,17.5,7.9,12.7,150.87
2012,9,55.1,12.8,5.6,9.2,100.96
2012,10,70.1,9.6,2.6,6.1,64.46
2012,11,100.8,7.5,1.2,4.3,50.25
2013,0,55.8,6.0,1.0,3.5,32.68
2013,1,51.4,6.0,0.1,3.1,71.75
2013,2,57.2,5.7,-0.7,2.5,94.5
2013,3,12.4,12.1,2.4,7.3,154.49
2013,4,84.9,15.2,5.6,10.4,179.15
2013,5,35.5,18.6,9.0,13.8,182.36
2013,6,74.7,24.4,12.1,18.2,277.95
2013,7,54.0,21.4,11.7,16.6,146.91
2013,8,36.5,18.2,9.5,13.8,117.44
2013,9,96.0,15.7,9.3,12.5,83.66
2013,10,62.0,9.3,2.4,5.9,70.08
2013,11,60.6,9.5,2.8,6.2,56.66
2014,0,102.4,8.4,2.4,5.4,54.77
2014,1,89.1,8.9,3.3,6.1,87.18
2014,2,41.7,12.2,2.7,7.4,144.47
2014,3,57.7,14.6,5.8,10.2,145.93
2014,4,70.6,16.8,8.2,12.5,163.75
2014,5,67.4,20.3,10.2,15.3,229.83
2014,6,52.9,23.3,11.8,17.5,273.99
2014,7,79.4,19.5,10.4,14.9,179.31
2014,8,18.2,19.7,9.6,14.7,135.03
2014,9,67.5,15.6,8.5,12.1,79.14
2014,10,81.8,10.9,5.1,8.0,58.13
2014,11,68.0,8.1,1.4,4.8,71.08
2015,0,53.3,7.7,1.1,4.4,71.74
2015,1,29.0,7.1,0.7,3.9,60.75
2015,2,62.6,10.4,2.2,6.3,113.11
2015,3,18.0,14.7,3.6,9.2,228.05
2015,4,64.0,15.1,6.8,10.9,170.92
2015,5,52.4,19.6,8.8,14.2,251.16
2015,6,58.7,20.5,10.9,15.7,180.0
2015,7,100.4,20.6,11.2,15.9,144.0
2015,8,35.4,17.5,7.7,12.6,168.55
2015,9,41.5,14.8,6.8,10.8,89.79
2015,10,74.0,12.4,6.3,9.3,32.23
2015,11,83.8,12.5,6.8,9.7,27.49
2016,0,100.9,8.5,2.4,5.4,40.3
2016,1,62.6,8.6,0.9,4.7,91.9
2016,2,78.9,9.7,1.4,5.6,110.0
2016,3,76.0,12.2,2.9,7.6,174.4
2016,4,49.1,17.8,7.1,12.5,232.0
2016,5,94.8,19.9,11.4,15.6,139.6
2016,6,55.0,21.2,12.1,16.7,180.5
2016,7,64.0,21.7,12.4,17.0,192.3
2016,8,47.3,20.2,12.0,16.1,137.8
2016,9,23.8,14.6,6.8,10.7,113.8
2016,10,74.0,9.0,1.7,5.4,77.7
2016,11,30.4,9.1,2.3,5.7,48.0
2017,0,58.33,6.8,0.7,3.8,40.77
2017,1,54.1,8.8,3.4,6.1,47.31
2017,2,55.68,12.7,4.2,8.4,127.91
2017,3,27.15,13.8,4.2,9.0,172.26
2017,4,34.87,18.5,8.3,13.4,217.18
2017,5,49.1,20.6,11.6,16.1,173.39
2017,6,76.44,22.2,11.9,17.1,183.78
2017,7,77.06,20.3,11.3,15.8,165.27
2017,8,80.99,17.9,9.3,13.6,107.35
2017,9,39.77,15.8,9.1,12.4,75.83
2017,10,51.47,10.5,2.8,6.6,65.98
2017,11,78.05,7.7,1.3,4.5,55.8
