YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,120.2,6.6,1,3.8,59.07
2009,1,43.4,6.9,2.4,4.6,58.78
2009,2,55.0,10.4,3.5,6.9,173.9
2009,3,65.6,12.9,5.9,9.4,180.92
2009,4,51.2,15.2,8.3,11.8,218.83
2009,5,112.2,18.8,11.1,14.9,221.44
2009,6,251.9,18.4,13.2,15.8,157.53
2009,7,80.0,18.7,13,15.9,157.9
2009,8,39.7,17.5,10.7,14.1,166.34
2009,9,104.5,15.2,9.2,12.2,97.79
2009,10,219.7,11.8,7.4,9.6,53.73
2009,11,97.1,7.0,1.6,4.3,64.35
2010,0,76.1,5.2,-0.5,2.3,74.19
2010,1,65.6,6.5,1.4,3.9,86.17
2010,2,80.0,9.4,2.6,6.0,141.44
2010,3,30.2,13.2,4.5,8.9,233.81
2010,4,41.8,15.2,7.2,11.2,236.28
2010,5,24.3,19.2,11,15.1,279.62
2010,6,102.6,19.6,13.7,16.7,168.97
2010,7,164.5,18.7,11.9,15.3,174.69
2010,8,88.3,17.5,10.9,14.2,156.53
2010,9,121.1,14.1,7.6,10.9,133.71
2010,10,110.5,9.0,3.5,6.2,83.61
2010,11,41.7,4.0,-2.5,0.8,64.56
2011,0,133.8,6.9,1.7,4.3,53.29
2011,1,88.9,9.2,4.9,7.1,44.46
2011,2,30.3,10.9,3.6,7.2,162.39
2011,3,12.3,16.3,7.6,11.9,233.48
2011,4,52.7,15.6,8.8,12.2,180.05
2011,5,131.2,17.1,10.4,13.8,238.82
2011,6,89.3,18.7,12,15.3,196.97
2011,7,94.9,18.2,12,15.1,147.69
2011,8,106.2,18.0,12.4,15.2,131.19
2011,9,121.0,15.8,10.1,12.9,105.53
2011,10,70.3,12.8,8.4,10.6,65.37
2011,11,154.2,9.7,4.9,7.3,36.2
2012,0,123.7,9.1,4.4,6.8,55.96
2012,1,51.1,7.4,2.2,4.8,77.41
2012,2,29.5,12.3,4.9,8.6,179.67
2012,3,175.4,11.0,4.5,7.8,139.19
2012,4,76.1,15.7,8.1,11.9,243.15
2012,5,184.9,16.3,11.3,13.8,110.88
2012,6,171.3,18.1,12.1,15.0,196.95
2012,7,125.9,19.2,13.7,16.5,146.62
2012,8,140.8,16.4,9.9,13.2,142.8
2012,9,205.2,13.2,7.8,10.5,105.41
2012,10,176.3,10.3,5,7.6,64.52
2012,11,251.1,9.0,3.6,6.3,64.16
2013,0,166.8,7.2,2.9,5.0,51.07
2013,1,64.4,6.1,1.8,4.0,67.76
2013,2,103.5,6.5,0.9,3.7,102.95
2013,3,44.3,10.7,3.6,7.2,163.29
2013,4,78.4,14.1,6.5,10.3,236.44
2013,5,58.6,17.1,10.3,13.7,215.95
2013,6,33.4,22.3,13.9,18.1,323.19
2013,7,118.7,20.0,13.1,16.5,218.76
2013,8,75.7,17.6,11.2,14.4,125.29
2013,9,236.7,15.8,10.6,13.2,97.8
2013,10,147.8,10.4,4.7,7.5,74.98
2013,11,125.4,10.2,4.7,7.5,50.44
2014,0,220.1,9.3,4.1,6.7,51.88
2014,1,135.9,8.9,4.5,6.7,97.22
2014,2,66.7,11.1,4.2,7.7,144.3
2014,3,77.1,13.5,6.6,10.1,171.88
2014,4,117.4,15.6,9,12.3,197.11
2014,5,80.5,19.2,11.7,15.5,264.48
2014,6,45.1,21.1,13.7,17.4,301.7
2014,7,198.0,18.3,11.8,15.0,220.3
2014,8,21.1,19.4,11.6,15.5,194.59
2014,9,129.0,15.7,10.5,13.1,92.59
2014,10,161.0,11.7,6.8,9.3,68.81
2014,11,117.6,9.2,3.6,6.4,77.6
2015,0,172.9,8.6,3.2,5.9,66.86
2015,1,98.0,7.2,1.7,4.4,99.51
2015,2,73.9,9.7,3.4,6.6,161.12
2015,3,22.7,14.0,5.5,9.7,252.79
2015,4,124.8,14.0,7.8,10.9,225.39
2015,5,55.9,17.5,10.4,13.9,264.07
2015,6,128.1,18.2,12.4,15.3,213.69
2015,7,149.9,18.6,12.2,15.4,183.24
2015,8,85.1,16.8,9.4,13.1,224.49
2015,9,56.2,14.8,8.1,11.4,126.31
2015,10,188.8,12.8,8.2,10.5,35.06
2015,11,169.8,12.6,8.7,10.7,34.5
2016,0,194.4,9.3,4.1,6.7,54.3
2016,1,116.2,8.2,2.9,5.6,91.2
2016,2,109.2,9.5,2.7,6.1,168.2
2016,3,35.3,11.6,4.4,8.0,194.7
2016,4,74.2,16.7,8.6,12.6,252.8
2016,5,136.7,18.0,12.4,15.2,155.7
2016,6,32.5,19.0,13.4,16.2,187.9
2016,7,109.0,19.7,12.9,16.3,178.4
2016,8,105.3,18.6,13.2,15.9,134.8
2016,9,30.4,14.1,8,11.0,119.7
2016,10,186.9,9.8,4.4,7.1,84.9
2016,11,55.9,9.6,4.2,6.9,39.9
2017,0,86.94,8.0,2.9,5.5,61.05
2017,1,83.21,8.5,4.3,6.4,56.56
2017,2,133.32,11.2,5.6,8.4,87.42
2017,3,25.63,13.1,5.2,9.2,203.73
2017,4,65.42,16.8,9.5,13.1,218.57
2017,5,62.87,18.9,12.5,15.7,198.83
2017,6,137.66,19.5,13.3,16.4,201.35
2017,7,82.84,18.8,12.4,15.6,193.89
2017,8,115.51,16.9,10.9,13.9,136.08
2017,9,49.72,15.4,10.4,12.9,97.85
2017,10,98.54,11.2,4.7,8.0,82.07
2017,11,189.78,9.0,3.7,6.4,57.45
