YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,52,5.4,0.2,2.8,55.98
2009,1,55.5,6.6,1.2,3.8,52.06
2009,2,30.5,10.8,2.5,6.7,167.02
2009,3,22.5,13.7,4.4,9.0,149.58
2009,4,41.4,16.0,7.0,11.5,220.95
2009,5,24.9,18.3,9.2,13.7,181.25
2009,6,83.7,20.5,11.0,15.8,201.48
2009,7,30.7,21.6,12.1,16.8,181.64
2009,8,26.6,18.4,9.6,14.0,146.93
2009,9,76.2,14.2,7.3,10.7,85.84
2009,10,105.4,10.6,4.5,7.5,89.97
2009,11,98.4,4.9,-0.6,2.1,73.86
2010,0,86.9,3.1,-1.4,0.9,48.56
2010,1,77.2,4.3,-0.8,1.8,48.91
2010,2,58.4,10.0,1.9,5.9,140.0
2010,3,21.5,13.5,3.6,8.6,172.92
2010,4,13.6,14.9,5.3,10.1,207.4
2010,5,66.5,19.6,9.3,14.5,223.67
2010,6,29.6,21.7,12.0,16.8,154.45
2010,7,63.4,19.8,10.6,15.2,164.62
2010,8,127.4,17.6,9.8,13.7,131.75
2010,9,66.6,13.1,6.5,9.8,106.45
2010,10,97.7,7.5,2.0,4.8,70.94
2010,11,43.4,1.8,-4.5,-1.4,65.93
2011,0,52.7,6.0,0.4,3.2,57.64
2011,1,71.5,8.4,2.9,5.7,54.83
2011,2,5.4,10.4,2.4,6.4,126.76
2011,3,3,16.5,5.6,11.1,221.51
2011,4,32.9,16.5,7.0,11.7,203.26
2011,5,55.2,19.2,8.9,14.0,206.69
2011,6,61.8,19.5,10.1,14.8,178.4
2011,7,83.4,19.7,10.4,15.0,145.35
2011,8,28.9,19.2,10.4,14.8,153.74
2011,9,71.3,15.5,7.7,11.6,114.46
2011,10,20.8,11.6,5.9,8.7,51.22
2011,11,63.2,7.5,1.8,4.6,67.17
2012,0,47.7,7.6,1.4,4.5,79.51
2012,1,22.9,7.0,0.3,3.6,87.1
2012,2,19.1,12.9,3.0,7.9,191.01
2012,3,162.2,10.4,2.7,6.6,106.81
2012,4,48.1,14.9,6.0,10.4,200.27
2012,5,121.3,16.7,9.0,12.9,103.29
2012,6,85.2,19.2,10.9,15.0,163.03
2012,7,82.8,20.9,11.5,16.2,155.99
2012,8,74.3,17.4,8.2,12.8,164.08
2012,9,86.4,12.2,5.0,8.6,105.46
2012,10,122.8,9.0,2.9,5.9,68.51
2012,11,142.1,6.4,0.8,3.6,68.27
2013,0,64.8,5.3,0.5,2.9,52.86
2013,1,40.9,5.2,-0.1,2.6,87.2
2013,2,62.9,4.6,-0.5,2.0,77.28
2013,3,14,11.5,2.9,7.2,192.98
2013,4,66.3,15.0,5.5,10.3,184.49
2013,5,56.9,17.7,8.6,13.2,174.95
2013,6,24.3,23.1,11.7,17.4,252.32
2013,7,30.2,21.9,11.6,16.8,194.18
2013,8,24.6,17.7,9.0,13.4,141.39
2013,9,84.2,15.0,8.8,11.9,96.26
2013,10,35.5,8.8,2.3,5.5,94.63
2013,11,34,8.7,2.0,5.3,69.71
2014,0,123,7.3,1.9,4.6,58.93
2014,1,67.7,8.7,2.5,5.6,90.4
2014,2,44.3,11.3,2.8,7.1,130.5
2014,3,31.9,13.6,5.4,9.5,134.15
2014,4,109.7,16.0,7.7,11.8,162.55
2014,5,40.2,18.9,9.9,14.4,159.11
2014,6,49.4,22.3,11.7,17.0,245.96
2014,7,92.7,19.3,10.3,14.8,185.7
2014,8,23,18.1,9.9,14.0,93.92
2014,9,85.2,15.1,8.4,11.7,101.21
2014,10,85.1,10.5,5.0,7.7,50.03
2014,11,51.7,7.4,1.6,4.5,86.71
2015,0,32.3,6.7,0.7,3.7,86.18
2015,1,48.1,6.8,0.6,3.7,100.31
2015,2,34.7,9.9,2.1,6.0,127.77
2015,3,18,13.4,3.1,8.2,206.12
2015,4,96.5,14.6,5.9,10.3,181.66
2015,5,38.4,18.4,7.9,13.1,200.14
2015,6,67.1,19.9,10.3,15.1,185.75
2015,7,52.4,20.8,11.2,16.0,171.41
2015,8,29.8,16.6,7.6,12.1,152.24
2015,9,70.9,14.1,6.7,10.4,86.54
2015,10,101.4,11.6,5.2,8.4,49.68
2015,11,127.9,11.5,5.1,8.3,38.35
2016,0,87.3,7.4,1.7,4.5,36.8
2016,1,55.3,7.6,0.6,4.1,110.1
2016,2,106.5,9.0,2.0,5.5,107.4
2016,3,90.8,10.9,2.4,6.6,162.9
2016,4,38.6,15.5,6.7,11.1,184.7
2016,5,60.9,18.0,9.7,13.8,136.4
2016,6,50.5,21.5,11.9,16.7,205.3
2016,7,85.6,21.3,12.0,16.7,203.7
2016,8,33.8,19.8,11.5,15.7,141.8
2016,9,58.8,13.8,7.3,10.5,102.6
2016,10,90.9,8.3,2.0,5.1,82.8
2016,11,34.6,8.7,2.5,5.6,70.0
2017,0,43.82,6.1,0.8,3.4,56.31
2017,1,67.08,8.3,2.8,5.5,64.2
2017,2,46.78,11.8,4.0,7.9,137.25
2017,3,26.48,13.1,3.4,8.3,173.57
2017,4,49.04,17.1,7.6,12.3,199.65
2017,5,137.47,19.9,11.1,15.5,194.57
2017,6,97.67,20.7,11.2,16.0,189.91
2017,7,93.02,20.0,11.0,15.5,199.99
2017,8,84.89,17.1,9.4,13.3,119.17
2017,9,48.59,15.1,8.7,11.9,88.21
2017,10,69.69,9.2,2.9,6.0,94.38
2017,11,47.05,6.7,1.1,3.9,71.04
