YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,104.3,5.2,-0.1,2.6,59.38
2009,1,60.3,6.8,1.8,4.2,63.2
2009,2,42.7,10.8,2.5,6.6,163.18
2009,3,32.6,14.7,6.2,10.5,183.94
2009,4,36.1,16.7,8.4,12.5,226.73
2009,5,39.0,19.4,10.0,14.7,212.88
2009,6,69.2,21.8,12.8,17.3,245.67
2009,7,11.3,23.2,13.3,18.3,239.48
2009,8,25.9,19.4,11.9,15.7,167.38
2009,9,91.8,15.2,8.8,12.0,106.7
2009,10,204.4,12.0,7.4,9.7,68.34
2009,11,128.7,6.5,0.3,3.4,73.69
2010,0,51.2,3.5,-1.0,1.3,49.55
2010,1,127.8,5.3,0.8,3.1,48.02
2010,2,60.4,9.1,2.7,5.9,107.85
2010,3,20.2,13.4,4.2,8.8,230.92
2010,4,47.8,14.4,5.9,10.2,203.29
2010,5,49.1,19.7,10.3,15.0,235.84
2010,6,35.9,23.4,13.6,18.5,233.79
2010,7,84.5,20.7,12.7,16.7,128.62
2010,8,58.1,17.8,10.6,14.2,129.62
2010,9,81.5,14.2,8.4,11.3,94.83
2010,10,92.0,8.4,3.9,6.2,45.62
2010,11,68.9,3.1,-3.2,-0.1,35.09
2011,0,115.4,6.4,2.4,4.4,26.83
2011,1,60.2,8.0,4.1,6.0,32.54
2011,2,17.5,9.6,2.4,6.0,121.18
2011,3,1.9,17.4,6.9,12.1,235.62
2011,4,12.7,17.1,8.3,12.7,257.18
2011,5,97.4,18.3,10.0,14.1,218.96
2011,6,37.8,20.0,10.9,15.5,197.46
2011,7,62.3,20.8,12.6,16.7,169.85
2011,8,28.3,20.0,12.1,16.0,181.92
2011,9,50.0,16.5,10.0,13.2,151.57
2011,10,29.7,12.7,7.0,9.8,46.3
2011,11,126.2,9.0,2.7,5.8,64.17
2012,0,52.9,8.6,3.0,5.8,71.2
2012,1,20.4,5.9,0.6,3.2,79.14
2012,2,44.4,11.7,3.2,7.5,139.71
2012,3,117.4,11.4,3.9,7.6,170.75
2012,4,38.6,16.1,8.7,12.4,168.32
2012,5,104.7,17.3,10.4,13.9,168.54
2012,6,82.0,20.3,12.0,16.1,187.19
2012,7,22.4,22.3,13.5,17.9,217.36
2012,8,91.2,18.7,9.7,14.2,192.21
2012,9,120.5,13.6,8.1,10.9,79.88
2012,10,97.4,10.1,4.6,7.4,67.87
2012,11,158.2,8.2,1.5,4.8,57.71
2013,0,62.2,5.7,1.4,3.5,43.89
2013,1,37.8,4.7,0.8,2.8,62.7
2013,2,49.5,5.1,0.7,2.9,65.39
2013,3,41.9,11.2,3.6,7.5,175.82
2013,4,46.2,14.3,6.2,10.2,189.26
2013,5,16.1,17.0,9.8,13.4,174.24
2013,6,33.3,23.2,12.9,18.1,276.42
2013,7,50.6,22.6,13.5,18.0,237.84
2013,8,43.2,18.3,10.6,14.4,146.96
2013,9,164.2,15.8,10.0,12.9,112.08
2013,10,108.1,9.3,4.3,6.8,70.58
2013,11,146.0,9.2,2.9,6.1,58.24
2014,0,217.9,9.0,3.7,6.3,66.1
2014,1,170.8,9.1,4.5,6.8,111.26
2014,2,36.4,12.2,3.8,8.0,174.61
2014,3,36.7,15.0,6.8,10.9,191.81
2014,4,78.2,16.2,8.5,12.4,226.76
2014,5,40.6,19.7,10.3,15.0,239.29
2014,6,80.7,23.2,13.9,18.5,250.9
2014,7,95.2,20.7,11.9,16.3,232.33
2014,8,7.0,20.1,11.8,16.0,147.13
2014,9,132.3,16.8,10.8,13.8,127.45
2014,10,148.1,11.8,7.2,9.5,62.74
2014,11,85.7,8.4,2.0,5.2,76.93
2015,0,128.6,7.5,1.8,4.6,55.57
2015,1,77.9,6.6,1.8,4.2,92.01
2015,2,24.2,9.7,3.1,6.4,149.49
2015,3,14.0,13.6,4.6,9.1,221.81
2015,4,50.2,15.5,7.5,11.5,222.34
2015,5,21.4,19.4,9.8,14.6,268.54
2015,6,66.5,22.2,12.9,17.5,216.71
2015,7,114.7,21.5,13.2,17.4,179.92
2015,8,104.2,17.2,9.4,13.3,183.1
2015,9,59.1,14.4,8.2,11.3,104.68
2015,10,64.1,12.6,7.7,10.2,37.22
2015,11,78.7,12.2,7.8,10.0,37.55
2016,0,128.3,8.1,2.7,5.4,61.5
2016,1,44.1,7.6,2.7,5.2,71.9
2016,2,95.8,9.0,2.6,5.8,140.2
2016,3,57.2,11.9,4.1,8.0,182.7
2016,4,51.8,17.0,8.6,12.8,223.2
2016,5,88.0,18.6,11.3,14.9,139.2
2016,6,22.1,21.9,13.4,17.7,237.6
2016,7,27.9,23.1,13.4,18.3,270.5
2016,8,45.7,21.7,13.7,17.7,168.3
2016,9,34.3,14.8,7.9,11.4,135.2
2016,10,117.8,9.8,3.4,6.6,68.7
2016,11,13.2,9.1,2.5,5.8,71.8
2017,0,76.64,6.1,-0.1,3.0,80.78
2017,1,51.54,8.3,4.5,6.4,58.57
2017,2,28.38,12.3,5.6,9.0,155.1
2017,3,8.22,13.8,4.7,9.2,208.36
2017,4,69.96,17.5,8.9,13.2,208.81
2017,5,58.97,21.4,12.2,16.8,302.02
2017,6,86.72,22.2,13.8,18.0,225.71
2017,7,68.38,21.6,12.5,17.1,229.18
2017,8,38.89,18.1,10.5,14.3,162.5
2017,9,20.78,16.1,9.8,12.9,109.42
2017,10,29.42,10.0,4.0,7.0,83.3
2017,11,112.81,7.6,1.5,4.5,62.6
