YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,49.6,5.9,-0.5,2.7,55.44
2009,1,33.4,6.8,0.6,3.6,62.44
2009,2,18.0,11.5,2.1,6.8,157.43
2009,3,24.4,14.9,4.2,9.5,163.41
2009,4,27.6,17.2,6.6,11.9,209.7
2009,5,49.1,20.0,8.8,14.4,190.6
2009,6,115.3,21.3,10.9,16.1,181.16
2009,7,63.0,21.9,11.6,16.8,179.68
2009,8,13.1,19.0,9.1,14.1,139.87
2009,9,36.9,15.3,6.7,11.0,90.64
2009,10,76.3,11.4,5.0,8.2,82.27
2009,11,51.4,5.8,-0.5,2.6,79.51
2010,0,36.0,3.6,-1.5,1.1,69.03
2010,1,41.2,5.3,-0.7,2.3,51.21
2010,2,35.9,10.5,1.6,6.0,132.99
2010,3,27.5,14.4,2.9,8.7,191.69
2010,4,14.3,15.9,5.2,10.6,201.75
2010,5,34.8,21.0,9.0,15.0,231.31
2010,6,31.5,22.5,11.8,17.1,148.96
2010,7,91.9,20.3,10.2,15.3,141.13
2010,8,39.3,18.4,8.9,13.6,125.97
2010,9,54.6,13.9,5.7,9.8,120.45
2010,10,39.1,8.0,1.3,4.7,78.49
2010,11,16.6,2.6,-4.7,-1.1,59.28
2011,0,28.3,6.5,0.5,3.5,56.47
2011,1,43.4,9.1,3.2,6.2,47.16
2011,2,5.2,11.4,1.9,6.6,131.41
2011,3,6.5,17.5,5.3,11.4,210.7
2011,4,29.0,17.5,6.6,12.0,200.82
2011,5,43.2,19.8,8.1,13.9,202.84
2011,6,32.8,21.0,9.3,15.1,167.7
2011,7,49.5,21.1,10.5,15.8,135.68
2011,8,23.8,20.6,10.1,15.3,157.86
2011,9,31.7,17.0,7.6,12.3,131.68
2011,10,21.5,12.1,5.4,8.8,55.71
2011,11,53.3,8.9,2.1,5.5,58.86
2012,0,30.2,8.6,1.6,5.1,78.27
2012,1,14.8,7.1,-0.2,3.5,76.87
2012,2,18.9,13.2,2.2,7.7,178.12
2012,3,120.3,11.4,2.2,6.8,111.39
2012,4,43.0,16.4,6.1,11.3,197.14
2012,5,127.8,17.6,8.9,13.2,102.5
2012,6,94.3,20.1,10.3,15.2,170.0
2012,7,67.4,21.7,11.3,16.5,154.49
2012,8,47.6,18.1,7.4,12.8,164.64
2012,9,54.0,12.9,4.8,8.9,101.85
2012,10,83.6,9.5,2.6,6.0,67.77
2012,11,100.0,7.7,0.9,4.3,65.69
2013,0,37.8,5.6,0.0,2.8,48.09
2013,1,24.4,5.6,-0.4,2.6,82.16
2013,2,52.1,5.4,-1.1,2.2,76.81
2013,3,9.3,12.5,1.9,7.2,166.66
2013,4,72.5,15.5,4.9,10.2,189.49
2013,5,46.7,18.5,8.3,13.4,178.2
2013,6,74.3,24.3,11.5,17.9,263.96
2013,7,36.3,22.5,11.4,17.0,189.19
2013,8,20.7,18.6,8.5,13.6,147.87
2013,9,100.7,15.7,8.3,12.0,86.94
2013,10,43.3,9.5,2.1,5.8,87.7
2013,11,41.8,9.7,2.1,5.9,66.76
2014,0,104.1,8.5,1.9,5.2,66.52
2014,1,46.0,9.2,2.6,5.9,90.86
2014,2,31.6,12.5,2.4,7.4,152.1
2014,3,24.8,14.7,4.9,9.8,136.82
2014,4,104.3,16.8,7.1,12.0,167.8
2014,5,33.5,20.2,9.4,14.8,194.74
2014,6,26.8,23.8,11.2,17.5,251.64
2014,7,63.4,20.1,9.8,15.0,187.75
2014,8,8.2,20.0,9.2,14.6,123.69
2014,9,71.0,15.9,8.0,12.0,80.75
2014,10,65.6,11.2,4.4,7.8,51.93
2014,11,43.5,8.3,1.5,4.9,85.85
2015,0,37.0,7.5,0.6,4.0,82.8
2015,1,32.8,7.0,0.2,3.6,86.28
2015,2,33.0,10.6,1.9,6.2,129.65
2015,3,16.0,14.6,2.8,8.7,228.45
2015,4,60.4,15.4,5.7,10.5,185.15
2015,5,46.9,19.7,7.7,13.7,228.13
2015,6,61.2,21.5,10.1,15.8,197.67
2015,7,50.5,21.4,11.0,16.2,153.13
2015,8,34.4,17.7,7.0,12.4,181.34
2015,9,59.5,14.8,6.2,10.5,90.11
2015,10,53.5,12.4,5.3,8.9,39.72
2015,11,56.4,12.8,6.2,9.5,39.28
2016,0,44.2,8.4,1.7,5.0,48.1
2016,1,51.5,8.4,0.9,4.7,110.4
2016,2,63.4,9.6,1.0,5.3,121.8
2016,3,51.2,12.1,2.0,7.1,165.1
2016,4,51.2,17.1,6.3,11.7,214.2
2016,5,130.5,19.2,10.0,14.6,122.8
2016,6,32.8,22.2,11.3,16.7,201.1
2016,7,43.8,22.6,11.6,17.1,216.9
2016,8,37.6,20.7,11.1,15.9,133.5
2016,9,27.0,14.6,6.2,10.4,110.7
2016,10,70.2,8.9,1.9,5.4,86.7
2016,11,21.2,9.2,1.8,5.5,53.2
2017,0,42.51,6.5,0.2,3.3,49.12
2017,1,42.27,8.6,2.7,5.7,53.97
2017,2,44.39,12.8,4.1,8.4,132.93
2017,3,17.79,13.9,3.2,8.6,180.36
2017,4,62.04,17.9,7.5,12.7,199.37
2017,5,63.3,20.9,10.9,15.9,175.95
2017,6,81.8,22.0,11.1,16.6,168.81
2017,7,61.17,20.7,10.4,15.5,188.08
2017,8,80.26,18.1,8.6,13.4,119.38
2017,9,22.68,15.8,8.4,12.1,84.95
2017,10,37.26,10.2,2.7,6.4,79.33
2017,11,63.28,7.8,1.2,4.5,63.86
