YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,47.5,5.2,-0.2,2.5,57.65
2009,1,55.1,6.8,1.3,4.0,71.81
2009,2,35.5,11.2,2.4,6.8,140.24
2009,3,12.8,15.4,5.4,10.4,205.9
2009,4,34.1,17.5,7.5,12.5,224.34
2009,5,41.7,19.9,9.5,14.7,215.8
2009,6,82.1,22.2,11.7,16.9,209.82
2009,7,16.7,23.8,12.4,18.1,224.2
2009,8,14.2,19.9,10.5,15.2,157.43
2009,9,47.7,15.2,7.8,11.5,85.64
2009,10,107.0,11.7,6.1,8.9,90.81
2009,11,67.7,5.7,0.5,3.1,64.84
2010,0,40.9,3.3,-1.0,1.1,55.44
2010,1,76.2,5.4,-0.3,2.5,58.05
2010,2,31.7,10.2,2.5,6.4,118.56
2010,3,12.3,14.1,3.6,8.9,220.32
2010,4,19.3,15.5,5.5,10.5,195.8
2010,5,22.4,20.9,9.9,15.4,237.01
2010,6,55.1,24.4,13.1,18.7,187.53
2010,7,142.0,20.7,11.7,16.2,140.39
2010,8,51.6,18.3,9.9,14.1,132.84
2010,9,54.2,14.2,7.5,10.8,108.53
2010,10,46.9,8.0,2.8,5.4,52.28
2010,11,20.9,2.4,-2.8,-0.2,44.45
2011,0,65.3,6.5,2.0,4.3,40.94
2011,1,40.6,8.9,3.6,6.2,35.56
2011,2,7.0,10.7,2.7,6.7,119.26
2011,3,2.6,17.9,6.1,12.0,233.36
2011,4,15.3,18.3,7.5,12.9,242.61
2011,5,55.9,20.4,9.5,15.0,227.19
2011,6,52.1,20.2,10.5,15.4,171.66
2011,7,66.3,21.2,11.5,16.3,165.96
2011,8,14.9,21.0,11.3,16.1,189.34
2011,9,24.9,17.2,9.0,13.1,164.35
2011,10,23.2,12.7,6.6,9.6,78.74
2011,11,57.6,8.5,2.4,5.4,72.89
2012,0,41.6,8.6,2.3,5.5,78.5
2012,1,14.4,6.8,0.1,3.4,99.54
2012,2,32.3,12.6,2.8,7.7,170.15
2012,3,95.8,11.6,3.2,7.4,140.02
2012,4,60.9,16.5,7.7,12.1,172.13
2012,5,82.5,18.2,9.7,14.0,161.32
2012,6,111.3,20.7,11.2,16.0,173.97
2012,7,42.3,22.9,12.5,17.7,192.82
2012,8,36.0,19.0,8.5,13.7,193.9
2012,9,89.5,13.3,6.6,10.0,92.94
2012,10,56.1,9.9,3.7,6.8,83.38
2012,11,95.4,7.5,1.6,4.5,54.9
2013,0,41.8,5.4,0.0,2.7,62.43
2013,1,31.8,5.1,0.2,2.7,58.74
2013,2,38.4,5.5,0.3,2.9,68.5
2013,3,28.1,12.5,3.0,7.8,199.19
2013,4,43.6,15.3,5.5,10.4,205.39
2013,5,20.4,18.6,9.1,13.9,185.04
2013,6,29.3,24.5,12.3,18.4,275.91
2013,7,47.9,23.3,12.6,17.9,228.15
2013,8,34.4,18.7,9.5,14.1,159.72
2013,9,90.7,15.8,9.0,12.4,90.02
2013,10,47.7,9.2,3.3,6.3,74.74
2013,11,51.6,9.0,2.6,5.8,69.77
2014,0,83.6,8.8,2.7,5.7,72.96
2014,1,72.8,9.6,3.5,6.6,108.74
2014,2,16.3,13.3,3.3,8.3,178.41
2014,3,11.5,15.2,6.3,10.7,173.63
2014,4,109.6,17.1,8.3,12.7,203.61
2014,5,24.9,20.5,9.8,15.1,225.72
2014,6,50.3,23.7,13.2,18.4,255.41
2014,7,102.6,21.1,10.8,15.9,213.23
2014,8,14.1,20.2,11.0,15.6,148.67
2014,9,80.6,16.8,9.8,13.3,123.84
2014,10,87.2,11.5,6.2,8.9,53.73
2014,11,51.2,8.0,2.3,5.2,85.69
2015,0,59.6,7.3,1.0,4.1,74.66
2015,1,37.2,7.2,1.0,4.0,91.33
2015,2,20.0,10.9,2.8,6.8,160.83
2015,3,18.2,14.1,3.4,8.8,226.13
2015,4,54.1,16.2,6.4,11.3,208.71
2015,5,20.7,20.1,8.9,14.5,255.01
2015,6,95.7,22.5,11.8,17.1,223.51
2015,7,67.5,22.1,12.2,17.1,182.25
2015,8,70.2,17.6,8.6,13.1,189.14
2015,9,31.0,14.5,7.3,10.9,107.22
2015,10,77.6,12.8,6.3,9.5,50.82
2015,11,46.1,12.5,7.3,9.9,48.47
2016,0,62.0,8.2,2.2,5.2,64.8
2016,1,24.2,8.3,1.5,4.9,91.0
2016,2,65.4,9.6,2.2,5.9,132.5
2016,3,59.6,11.9,3.1,7.5,190.2
2016,4,74.9,17.4,7.8,12.6,233.9
2016,5,115.5,19.7,10.8,15.2,146.6
2016,6,36.2,23.2,12.5,17.8,223.6
2016,7,36.9,23.8,12.4,18.1,237.8
2016,8,39.8,22.0,12.9,17.4,156.0
2016,9,27.6,15.0,7.4,11.2,107.3
2016,10,73.0,9.5,2.7,6.1,91.2
2016,11,19.5,9.0,2.7,5.8,57.7
2017,0,48.69,6.3,0.3,3.3,81.2
2017,1,44.31,9.0,3.7,6.3,47.19
2017,2,26.48,13.2,5.1,9.1,137.36
2017,3,11.43,14.1,4.1,9.1,194.12
2017,4,76.21,18.4,8.8,13.6,196.56
2017,5,60.76,22.1,12.1,17.1,240.17
2017,6,71.34,22.3,12.7,17.5,189.5
2017,7,82.38,21.8,11.5,16.6,185.24
2017,8,41.31,18.4,9.6,14.0,121.69
2017,9,14.97,16.2,9.1,12.6,91.43
2017,10,29.53,9.9,3.4,6.6,88.26
2017,11,89.89,7.2,1.8,4.5,63.76
