YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,39.9,5.2,-0.2,2.6,45.26
2009,1,49.9,6.7,1.4,4.0,51.36
2009,2,37.7,11.0,2.2,6.6,131.44
2009,3,15.9,15.2,5.0,10.1,194.17
2009,4,40.7,17.6,7.5,12.5,226.71
2009,5,78.3,19.6,9.6,14.6,209.98
2009,6,85.3,22.1,11.4,16.8,211.53
2009,7,13.8,24.1,12.3,18.2,223.42
2009,8,13.6,19.8,10.3,15.1,159.42
2009,9,48.6,15.2,7.6,11.4,82.29
2009,10,93.2,11.7,5.7,8.7,83.9
2009,11,73.5,5.7,0.2,3.0,60.09
2010,0,48.4,3.1,-1.3,0.9,46.55
2010,1,84.9,5.0,-0.4,2.3,54.01
2010,2,32.2,10.3,2.3,6.3,113.2
2010,3,15.6,14.1,3.4,8.7,215.23
2010,4,22.4,15.6,5.4,10.5,223.01
2010,5,42.5,20.5,9.7,15.1,225.65
2010,6,31.4,24.3,13.0,18.7,195.79
2010,7,123.8,20.6,11.6,16.1,148.85
2010,8,80.3,18.4,9.6,14.0,129.61
2010,9,62.2,14.1,7.5,10.8,97.56
2010,10,56.8,8.1,2.8,5.5,55.51
2010,11,19.6,2.4,-3.2,-0.4,47.67
2011,0,54.7,6.3,1.7,4.0,38.1
2011,1,36.9,8.8,3.5,6.2,41.2
2011,2,5.1,10.6,2.2,6.4,103.14
2011,3,4.1,17.6,5.9,11.8,212.08
2011,4,15.3,18.6,7.5,13.0,235.33
2011,5,78.7,20.1,9.6,14.9,217.61
2011,6,42.8,20.1,10.3,15.2,159.84
2011,7,54.9,21.2,11.2,16.2,154.77
2011,8,42.0,21.0,10.7,15.9,182.47
2011,9,24.5,17.1,8.5,12.8,156.54
2011,10,25.4,12.6,6.1,9.4,67.48
2011,11,54.4,8.3,2.1,5.2,73.32
2012,0,37.5,8.3,2.1,5.2,68.24
2012,1,14.9,6.8,0.3,3.6,84.41
2012,2,42.7,12.5,2.5,7.5,149.57
2012,3,112.6,11.5,3.2,7.3,137.51
2012,4,35.3,16.2,7.5,11.8,167.24
2012,5,105.1,18.1,9.6,13.8,151.01
2012,6,100.1,20.5,11.1,15.8,174.47
2012,7,54.1,23.0,12.2,17.6,192.68
2012,8,44.5,18.8,8.0,13.4,181.87
2012,9,92.9,13.2,6.3,9.7,92.43
2012,10,65.1,9.8,3.4,6.6,75.69
2012,11,93.8,7.4,1.5,4.4,48.59
2013,0,48.0,5.3,-0.2,2.6,56.25
2013,1,39.6,5.0,0.4,2.7,53.31
2013,2,58.0,5.3,0.1,2.7,67.69
2013,3,17.3,12.5,2.9,7.7,212.62
2013,4,53.8,15.3,5.4,10.4,203.02
2013,5,24.2,18.2,9.1,13.6,164.49
2013,6,17.0,24.2,11.9,18.0,257.68
2013,7,50.8,23.4,12.2,17.8,221.72
2013,8,58.6,18.8,9.1,14.0,151.63
2013,9,95.4,15.9,9.0,12.5,92.16
2013,10,64.0,9.2,3.2,6.2,74.78
2013,11,45.1,9.0,2.1,5.6,66.59
2014,0,76.9,8.4,2.4,5.4,64.92
2014,1,77.4,9.5,3.4,6.4,109.2
2014,2,19.3,13.0,2.9,8.0,158.22
2014,3,16.5,14.9,6.1,10.5,159.11
2014,4,108.1,17.4,8.2,12.8,187.67
2014,5,56.2,20.1,9.6,14.8,202.11
2014,6,33.6,23.3,12.9,18.1,219.37
2014,7,69.5,20.9,10.5,15.7,205.1
2014,8,46.1,19.9,10.3,15.1,129.72
2014,9,71.4,16.8,9.4,13.1,117.8
2014,10,73.7,11.5,5.8,8.6,49.78
2014,11,50.1,7.9,2.2,5.0,80.39
2015,0,45.8,7.1,0.6,3.9,73.17
2015,1,52.6,7.1,0.9,4.0,96.03
2015,2,24.1,10.7,2.6,6.6,149.66
2015,3,16.2,14.1,3.4,8.8,215.89
2015,4,46.4,16.3,6.4,11.3,197.68
2015,5,36.6,19.8,8.6,14.2,229.99
2015,6,86.6,22.4,11.4,16.9,203.56
2015,7,77.9,22.3,11.8,17.1,169.67
2015,8,50.5,17.6,8.1,12.8,171.09
2015,9,39.8,14.6,7.0,10.8,97.05
2015,10,82.4,12.7,6.0,9.3,47.22
2015,11,55.9,12.5,6.7,9.6,48.43
2016,0,74.8,8.1,1.9,5.0,55.0
2016,1,32.2,8.2,1.4,4.8,93.4
2016,2,67.2,9.4,2.2,5.8,130.9
2016,3,58.4,11.9,2.9,7.4,189.4
2016,4,53.1,17.2,7.5,12.4,224.0
2016,5,138.7,19.3,10.7,15.0,146.8
2016,6,29.0,23.0,12.1,17.6,225.1
2016,7,31.5,23.8,12.1,17.9,235.5
2016,8,66.5,21.9,12.3,17.1,159.2
2016,9,54.2,14.9,7.2,11.1,110.6
2016,10,72.9,9.4,2.5,6.0,87.5
2016,11,24.4,8.9,2.2,5.5,60.5
2017,0,37.69,6.0,0.1,3.0,77.83
2017,1,46.48,8.8,3.6,6.2,52.9
2017,2,30.71,13.0,4.8,8.9,137.92
2017,3,16.91,13.9,3.8,8.9,199.27
2017,4,58.96,18.4,8.6,13.5,193.73
2017,5,104.31,21.9,12.0,17.0,232.83
2017,6,68.44,22.1,12.2,17.2,192.25
2017,7,54.02,21.9,11.1,16.5,196.3
2017,8,78.64,18.3,9.0,13.7,119.59
2017,9,18.99,16.2,8.9,12.6,94.11
2017,10,48.46,9.9,3.4,6.6,89.68
2017,11,105.2,7.1,1.6,4.4,69.25
