YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,47.3,5.6,-0.5,2.6,49.14
2009,1,63.0,7.0,1.1,4.0,62.93
2009,2,34.8,11.7,2.2,7.0,147.59
2009,3,19.0,15.5,4.9,10.2,171.14
2009,4,22.5,18.1,7.3,12.7,209.21
2009,5,83.8,20.7,9.6,15.2,195.52
2009,6,86.7,22.2,12.0,17.1,195.17
2009,7,59.8,23.4,12.7,18.0,199.25
2009,8,10.4,19.9,10.3,15.1,150.39
2009,9,29.8,15.5,7.8,11.6,85.79
2009,10,103.0,11.8,6.1,9.0,76.28
2009,11,72.3,5.9,0.1,3.0,68.7
2010,0,37.2,3.6,-1.0,1.3,56.34
2010,1,64.4,5.8,0.1,3.0,56.65
2010,2,18.7,10.6,2.4,6.5,116.24
2010,3,12.8,14.9,3.4,9.1,209.57
2010,4,22.2,16.3,5.5,10.9,195.13
2010,5,25.4,21.6,9.8,15.7,227.68
2010,6,41.8,24.3,13.2,18.8,176.2
2010,7,139.8,20.8,11.9,16.3,136.89
2010,8,42.7,18.7,9.8,14.3,125.18
2010,9,53.8,14.5,7.3,10.9,115.38
2010,10,26.8,8.2,2.6,5.4,50.6
2010,11,23.7,2.6,-3.4,-0.4,34.41
2011,0,60.4,6.6,1.8,4.2,41.1
2011,1,26.5,9.3,3.7,6.5,36.05
2011,2,3.9,11.4,2.2,6.8,119.53
2011,3,6.2,18.6,6.0,12.3,213.75
2011,4,15.0,18.6,7.4,13.0,229.65
2011,5,56.9,20.3,9.5,14.9,196.36
2011,6,32.3,20.9,10.6,15.8,157.04
2011,7,48.0,21.3,11.6,16.4,140.36
2011,8,15.0,21.0,11.0,16.0,165.65
2011,9,16.8,17.5,8.8,13.2,148.51
2011,10,32.6,12.9,6.2,9.6,62.69
2011,11,52.4,8.9,2.7,5.8,59.82
2012,0,41.2,8.9,2.4,5.6,76.92
2012,1,13.7,7.0,-0.2,3.4,87.82
2012,2,16.0,13.2,2.4,7.8,156.91
2012,3,104.1,12.2,3.3,7.8,132.34
2012,4,67.1,16.9,7.7,12.3,169.2
2012,5,102.8,18.5,10.0,14.2,139.24
2012,6,128.1,20.9,11.6,16.3,155.2
2012,7,36.4,23.0,12.6,17.8,174.32
2012,8,30.1,19.2,8.4,13.8,171.13
2012,9,82.3,13.5,6.6,10.1,90.96
2012,10,66.5,10.0,3.6,6.8,75.06
2012,11,79.7,7.9,1.5,4.7,50.22
2013,0,35.8,5.7,0.3,3.0,49.42
2013,1,20.7,5.8,0.2,3.0,65.29
2013,2,37.6,6.0,-0.1,2.9,62.95
2013,3,20.9,13.0,3.0,8.0,175.41
2013,4,45.6,15.8,5.6,10.7,183.36
2013,5,15.8,19.1,9.3,14.2,172.22
2013,6,32.7,25.2,12.4,18.8,273.05
2013,7,48.7,23.3,12.5,17.9,206.35
2013,8,42.0,18.9,9.5,14.2,134.65
2013,9,79.0,16.1,9.2,12.7,90.14
2013,10,48.5,9.5,3.3,6.4,74.67
2013,11,55.3,9.5,2.7,6.1,58.35
2014,0,104.5,9.1,2.7,5.9,65.97
2014,1,75.6,9.8,3.5,6.6,98.35
2014,2,25.2,13.4,3.1,8.2,156.11
2014,3,17.2,15.8,6.0,10.9,148.26
2014,4,93.7,17.5,8.1,12.8,178.44
2014,5,48.9,20.8,10.3,15.6,211.66
2014,6,48.9,24.4,13.2,18.8,241.89
2014,7,98.8,21.1,11.2,16.2,186.29
2014,8,24.7,20.6,10.9,15.8,133.14
2014,9,60.5,16.9,9.7,13.3,112.16
2014,10,76.4,11.7,5.8,8.8,55.28
2014,11,35.5,8.3,2.2,5.3,82.21
2015,0,53.6,7.8,1.0,4.4,70.98
2015,1,34.7,7.2,0.8,4.0,85.53
2015,2,14.7,10.9,2.7,6.8,138.87
2015,3,35.5,14.9,3.7,9.3,211.63
2015,4,43.1,16.5,6.8,11.7,184.86
2015,5,10.9,20.5,9.2,14.8,220.88
2015,6,82.5,22.5,11.9,17.2,196.33
2015,7,79.7,21.9,12.4,17.2,151.01
2015,8,49.9,17.9,8.3,13.1,182.71
2015,9,39.6,15.0,7.5,11.3,102.78
2015,10,65.8,13.0,6.4,9.7,37.41
2015,11,49.8,12.9,7.5,10.2,42.09
2016,0,48.9,8.5,2.2,5.3,53.4
2016,1,22.4,8.6,1.6,5.1,95.3
2016,2,49.6,9.9,1.8,5.9,121.4
2016,3,53.8,12.5,3.2,7.9,175.2
2016,4,38.8,18.0,7.7,12.8,214.1
2016,5,92.9,19.8,11.2,15.5,136.2
2016,6,21.0,23.2,12.8,18.0,213.7
2016,7,34.1,23.9,12.7,18.3,224.9
2016,8,51.0,21.8,12.5,17.2,146.7
2016,9,19.5,15.1,7.1,11.1,117.3
2016,10,64.7,9.5,2.4,5.9,84.8
2016,11,23.6,9.2,2.1,5.7,58.5
2017,0,45.27,6.6,0.0,3.3,72.61
2017,1,35.17,9.2,3.5,6.3,52.71
2017,2,28.72,13.3,4.9,9.1,132.29
2017,3,12.31,14.5,4.1,9.3,188.69
2017,4,60.78,18.6,8.7,13.6,186.84
2017,5,57.19,22.2,12.2,17.2,226.38
2017,6,92.46,22.5,13.0,17.7,187.59
2017,7,64.83,21.5,11.8,16.7,192.53
2017,8,66.07,18.4,9.6,14.0,126.16
2017,9,20.01,16.3,9.2,12.7,95.24
2017,10,36.71,10.1,3.3,6.7,80.69
2017,11,75.34,7.5,1.7,4.6,58.54
