YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,61.9,6.1,0.7,3.4,70.31
2009,1,35.1,7.0,1.7,4.4,56.8
2009,2,30.9,10.2,3.1,6.6,164.09
2009,3,31.2,12.8,5.1,9.0,147.14
2009,4,64.2,14.6,6.4,10.5,253.15
2009,5,37.3,16.9,9.4,13.2,189.67
2009,6,119.8,19.3,11.4,15.3,184.56
2009,7,98.2,18.7,11.7,15.2,169.62
2009,8,86.9,16.6,10.3,13.5,126.69
2009,9,52.1,13.4,7.5,10.4,87.89
2009,10,141.9,9.7,4.0,6.8,60.76
2009,11,66.1,4.7,-1.1,1.8,26.43
2010,0,49.7,4.2,-0.8,1.7,49.48
2010,1,80.5,4.9,-1.0,2.0,63.51
2010,2,67.4,9.0,2.0,5.5,109.03
2010,3,30.7,12.2,4.3,8.2,177.12
2010,4,41.8,14.1,5.5,9.8,223.34
2010,5,24.0,18.4,10.1,14.2,203.41
2010,6,135.1,18.5,11.6,15.0,170.35
2010,7,56.4,18.2,10.0,14.1,175.75
2010,8,85.4,16.3,9.5,12.9,138.19
2010,9,66.6,12.5,6.5,9.5,88.86
2010,10,116.4,7.0,1.9,4.5,62.66
2010,11,36.3,2.4,-3.7,-0.7,45.94
2011,0,66.6,5.8,0.1,2.9,44.49
2011,1,124.6,7.6,1.9,4.7,48.14
2011,2,75.0,9.5,2.4,5.9,117.75
2011,3,15.3,14.5,6.0,10.3,213.74
2011,4,78.5,14.3,6.6,10.5,226.54
2011,5,71.4,16.0,8.6,12.3,159.68
2011,6,101.9,18.2,10.0,14.1,195.9
2011,7,146.3,17.1,10.6,13.8,122.52
2011,8,61.5,16.7,10.1,13.4,128.39
2011,9,81.8,13.6,8.5,11.1,64.72
2011,10,66.5,11.8,6.2,9.0,55.1
2011,11,71.9,7.1,1.7,4.4,37.6
2012,0,33.5,7.2,1.4,4.3,73.5
2012,1,20.6,8.1,2.7,5.4,66.08
2012,2,13.0,12.6,4.4,8.5,152.96
2012,3,108.5,9.6,3.2,6.4,124.19
2012,4,68.8,12.9,5.7,9.3,203.11
2012,5,127.1,14.8,8.6,11.7,129.15
2012,6,130.5,16.7,10.5,13.6,119.79
2012,7,102.3,18.5,11.4,14.9,159.6
2012,8,69.7,15.1,8.7,11.9,144.73
2012,9,110.6,10.9,4.5,7.7,94.96
2012,10,53.9,8.8,2.7,5.7,71.33
2012,11,113.0,6.3,1.0,3.6,37.65
2013,0,91.0,5.9,1.6,3.7,31.55
2013,1,29.2,6.4,0.4,3.4,81.95
2013,2,44.1,5.1,-0.2,2.4,75.42
2013,3,35.7,10.0,2.8,6.4,197.79
2013,4,52.8,13.9,5.9,9.9,176.01
2013,5,27.9,17.2,8.8,13.0,173.6
2013,6,74.9,21.1,12.6,16.8,216.28
2013,7,27.8,19.2,11.5,15.4,149.39
2013,8,37.9,16.2,9.3,12.7,123.23
2013,9,119.1,13.5,8.6,11.0,64.73
2013,10,25.5,8.3,1.8,5.1,109.34
2013,11,119.0,8.8,3.6,6.2,46.96
2014,0,91.2,7.0,2.6,4.8,34.83
2014,1,81.0,7.7,2.9,5.3,63.83
2014,2,52.5,9.8,3.9,6.9,128.85
2014,3,70.1,12.1,5.7,8.9,145.78
2014,4,53.1,14.5,7.8,11.1,134.04
2014,5,81.4,18.2,10.8,14.5,151.29
2014,6,39.8,20.7,11.6,16.1,226.88
2014,7,119.0,17.5,10.1,13.8,172.05
2014,8,20.7,17.3,10.8,14.1,94.72
2014,9,112.8,13.8,7.8,10.8,66.79
2014,10,85.3,10.3,5.4,7.9,40.61
2014,11,58.1,7.0,1.3,4.1,51.07
2015,0,79.0,6.4,0.9,3.7,59.9
2015,1,45.3,7.3,1.2,4.3,90.45
2015,2,56.8,9.1,2.6,5.9,124.8
2015,3,29.7,12.6,3.1,7.8,247.27
2015,4,94.0,12.9,5.2,9.1,215.12
2015,5,37.6,16.4,8.5,12.5,161.17
2015,6,124.0,17.4,10.4,13.9,153.48
2015,7,61.7,18.4,10.6,14.5,204.37
2015,8,29.8,16.2,8.4,12.3,140.8
2015,9,40.9,13.6,6.5,10.0,86.07
2015,10,149.4,9.9,4.7,7.3,36.84
2015,11,166.0,10.0,3.9,6.9,26.65
2016,0,158.9,6.8,2.2,4.5,19.6
2016,1,66.4,6.8,0.8,3.8,89.5
2016,2,27.3,9.4,2.8,6.1,112.8
2016,3,76.8,9.9,3.0,6.4,160.5
2016,4,30.5,14.7,7.0,10.8,222.5
2016,5,97.3,16.2,9.4,12.8,163.7
2016,6,72.1,18.4,11.0,14.7,181.5
2016,7,40.7,18.5,11.2,14.9,168.1
2016,8,45.7,17.8,11.2,14.5,101.1
2016,9,49.6,12.9,6.8,9.9,99.8
2016,10,41.4,7.7,1.3,4.5,98.7
2016,11,60.1,9.6,3.8,6.7,33.8
2017,0,20.17,7.0,1.5,4.2,78.39
2017,1,76.5,8.0,3.0,5.5,55.72
2017,2,45.71,10.9,3.8,7.3,118.24
2017,3,15.12,12.5,4.8,8.6,192.86
2017,4,35.95,15.8,8.0,11.9,213.86
2017,5,151.97,17.0,10.8,13.9,139.13
2017,6,51.1,17.4,11.3,14.3,152.93
2017,7,71.0,18.3,10.8,14.5,157.99
2017,8,64.67,15.9,9.8,12.8,116.15
2017,9,57.62,14.2,8.4,11.3,84.43
2017,10,32.89,8.0,2.9,5.5,88.82
2017,11,43.09,6.9,1.6,4.2,64.44
