YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,101.3,5.7,-1,2.3,62.93
2009,1,75.3,7.0,0.8,3.8,69.65
2009,2,46.0,11.6,1.9,6.8,180.04
2009,3,45.1,14.6,4.9,9.8,195.85
2009,4,21.3,17.2,7.2,12.2,224.27
2009,5,25.7,20.6,9.4,15.0,217.17
2009,6,89.1,20.6,11.9,16.3,181.74
2009,7,40.1,21.4,11.9,16.7,187.7
2009,8,55.1,18.9,9.7,14.3,172.03
2009,9,64.0,15.1,7.7,11.4,103.43
2009,10,213.7,11.4,6.2,8.8,68.21
2009,11,136.8,6.0,-0.4,2.8,66.36
2010,0,80.2,3.5,-2,0.8,66.95
2010,1,98.7,6.0,0.4,3.2,59.38
2010,2,67.1,9.9,1.8,5.9,133.83
2010,3,26.2,14.5,3.1,8.8,232.96
2010,4,22.6,16.0,5.3,10.7,197.21
2010,5,22.8,21.6,9.4,15.5,270.08
2010,6,32.1,22.7,12.5,17.6,194.4
2010,7,91.9,20.0,11.2,15.5,137.38
2010,8,60.8,18.0,9.3,13.7,148.13
2010,9,88.7,14.2,6.6,10.4,131.44
2010,10,81.1,8.1,2.5,5.3,62.45
2010,11,40.3,2.7,-3.3,-0.3,20.73
2011,0,101.7,6.3,1.4,3.9,52.93
2011,1,67.0,9.0,3.4,6.2,47.46
2011,2,17.7,11.4,1.9,6.6,146.56
2011,3,1.6,18.3,6,12.1,241.01
2011,4,38.0,17.1,7.3,12.2,238.91
2011,5,91.0,18.8,9.2,14.0,196.7
2011,6,48.4,20.1,10.3,15.2,186.94
2011,7,114.6,20.1,11.3,15.7,169.7
2011,8,68.7,19.5,10.9,15.2,167.39
2011,9,41.2,16.6,8.5,12.5,143.36
2011,10,51.2,12.8,6.6,9.7,53.65
2011,11,97.1,9.1,2.7,5.9,58.24
2012,0,56.4,8.8,2.2,5.5,71.34
2012,1,17.0,6.8,-0.2,3.3,80.8
2012,2,25.9,13.7,2.5,8.1,176.99
2012,3,152.9,11.8,2.7,7.3,151.96
2012,4,49.0,16.9,7.7,12.3,194.85
2012,5,165.7,17.6,10.1,13.8,137.08
2012,6,122.0,19.7,11.2,15.4,175.36
2012,7,88.9,21.3,12.3,16.8,182.54
2012,8,63.1,18.2,8.1,13.2,186.57
2012,9,143.4,13.0,6.8,9.9,79.69
2012,10,139.2,9.8,3.2,6.5,75.56
2012,11,146.2,8.3,1.7,5.0,58.07
2013,0,88.3,5.8,1.2,3.5,36.57
2013,1,37.0,5.7,-0.2,2.8,67.46
2013,2,83.5,5.9,-0.1,2.9,63.61
2013,3,41.5,11.8,2.7,7.3,169.13
2013,4,51.6,15.0,5.4,10.2,191.99
2013,5,24.4,18.6,9.1,13.8,188.12
2013,6,18.0,25.0,12.3,18.7,299.68
2013,7,26.7,22.3,11.9,17.1,214.34
2013,8,74.5,18.6,9.2,13.9,118.11
2013,9,139.0,15.7,9.3,12.5,91.42
2013,10,62.7,9.4,3,6.2,74.92
2013,11,167.3,9.4,2.2,5.8,50.83
2014,0,250.0,9.0,2.4,5.7,65.18
2014,1,173.2,9.2,3.3,6.2,94.57
2014,2,46.4,12.5,2.7,7.6,156.64
2014,3,120.0,14.6,5.5,10.1,158.45
2014,4,69.0,16.5,7.8,12.1,198.0
2014,5,62.9,20.6,10.3,15.4,248.92
2014,6,26.0,23.9,12.4,18.1,272.99
2014,7,97.3,20.0,10.5,15.3,190.61
2014,8,12.1,20.5,10.3,15.4,125.96
2014,9,108.2,16.0,9.5,12.8,107.7
2014,10,156.8,11.4,5.5,8.4,54.02
2014,11,60.6,8.3,1.7,5.0,76.97
2015,0,87.3,8.1,0.8,4.5,71.42
2015,1,60.4,6.9,0.3,3.6,71.57
2015,2,22.8,10.3,2.6,6.5,141.26
2015,3,26.2,15.1,3.6,9.4,228.95
2015,4,52.4,15.8,6.9,11.3,184.41
2015,5,41.1,20.0,9.1,14.6,232.37
2015,6,57.3,21.3,11.3,16.3,199.68
2015,7,106.2,20.3,11.7,16.0,136.25
2015,8,50.0,17.6,7.9,12.7,181.42
2015,9,79.0,14.6,7.2,10.9,91.5
2015,10,71.4,12.3,6.9,9.6,23.5
2015,11,90.6,12.6,8,10.3,37.18
2016,0,151.7,8.6,1.8,5.2,67.8
2016,1,74.4,8.2,1.7,5.0,94.8
2016,2,99.5,9.7,1.4,5.6,134.5
2016,3,61.3,12.3,3,7.7,177.4
2016,4,78.0,17.6,7.7,12.7,208.2
2016,5,104.5,19.2,11.2,15.2,106.4
2016,6,19.5,21.9,12.2,17.0,194.2
2016,7,39.6,22.6,12.4,17.5,213.9
2016,8,61.2,20.3,11.9,16.1,119.7
2016,9,35.5,14.5,6.6,10.6,120.5
2016,10,102.3,9.5,2.2,5.9,86.3
2016,11,18.1,9.3,2,5.7,70.9
2017,0,95.78,7.0,-0.3,3.3,86.79
2017,1,61.52,8.8,3.2,6.0,54.26
2017,2,57.09,12.7,5,8.8,123.79
2017,3,13.6,14.3,3.5,8.9,199.66
2017,4,76.34,17.9,8.4,13.1,184.01
2017,5,47.6,21.5,11.5,16.5,223.32
2017,6,113.28,21.9,12.7,17.3,198.39
2017,7,79.38,20.4,11.4,15.9,183.93
2017,8,83.27,17.6,9.6,13.6,125.11
2017,9,33.92,15.6,9,12.3,92.58
2017,10,53.82,10.2,3,6.6,79.98
2017,11,119.58,8.0,1.8,4.9,50.68
