YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,46.4,5.8,0.4,3.1,55.57
2009,1,52.0,7.1,1.5,4.3,58.83
2009,2,21.0,11.3,2.9,7.1,162.8
2009,3,14.1,14.1,5.0,9.5,156.28
2009,4,50.6,16.7,7.7,12.2,225.32
2009,5,18.1,18.9,9.9,14.4,192.18
2009,6,109.9,21.3,11.5,16.4,207.58
2009,7,49.3,22.1,12.6,17.4,189.87
2009,8,21.2,19.1,10.2,14.6,153.41
2009,9,62.4,15.0,7.8,11.4,92.97
2009,10,88.5,11.3,5.0,8.1,89.69
2009,11,71.9,5.5,-0.2,2.6,79.96
2010,0,60.8,3.7,-1.0,1.4,52.58
2010,1,70.0,5.0,-0.2,2.4,49.53
2010,2,38.2,10.6,2.4,6.5,136.98
2010,3,23.4,14.0,3.9,8.9,180.06
2010,4,13.3,15.4,6.0,10.7,217.29
2010,5,39.9,20.0,10.1,15.0,228.88
2010,6,27.0,22.8,12.7,17.8,165.24
2010,7,70.3,20.1,11.4,15.7,165.62
2010,8,77.9,18.3,10.2,14.3,133.64
2010,9,40.1,13.9,7.0,10.4,110.47
2010,10,87.1,8.2,2.6,5.4,73.76
2010,11,32.8,2.2,-4.3,-1.1,63.79
2011,0,33.5,6.6,0.9,3.7,58.36
2011,1,68.1,9.1,3.5,6.3,54.67
2011,2,5.9,10.9,3.0,6.9,122.04
2011,3,10.1,16.6,6.2,11.4,215.62
2011,4,34.6,17.5,7.6,12.5,213.82
2011,5,47.2,19.8,9.3,14.6,215.3
2011,6,53.9,20.3,10.6,15.5,176.32
2011,7,72.0,20.5,11.1,15.8,152.7
2011,8,29.3,20.3,11.0,15.7,165.05
2011,9,43.7,16.5,8.2,12.3,127.08
2011,10,23.1,12.1,6.1,9.1,53.23
2011,11,54.8,8.2,2.0,5.1,69.85
2012,0,33.2,8.4,1.9,5.1,81.3
2012,1,18.9,7.4,0.6,4.0,86.53
2012,2,26.4,13.0,3.2,8.1,183.65
2012,3,137.9,11.1,3.3,7.2,104.98
2012,4,51.3,15.5,7.0,11.2,201.16
2012,5,111.0,17.5,9.7,13.6,110.28
2012,6,78.4,19.9,11.4,15.6,169.9
2012,7,54.1,21.5,12.1,16.8,163.87
2012,8,51.3,18.2,8.5,13.4,170.75
2012,9,61.4,12.8,5.4,9.1,103.87
2012,10,106.6,9.5,3.2,6.3,69.62
2012,11,103.5,6.9,1.1,4.0,71.0
2013,0,48.1,5.8,0.6,3.2,55.48
2013,1,34.5,5.6,0.2,2.9,82.94
2013,2,60.9,5.2,0.0,2.6,75.31
2013,3,8.6,12.3,3.4,7.8,190.64
2013,4,63.6,15.7,6.0,10.9,192.22
2013,5,55.4,18.1,9.4,13.7,172.24
2013,6,33.0,23.4,12.3,17.8,248.66
2013,7,25.0,22.6,12.4,17.5,198.5
2013,8,29.5,18.5,9.5,14.0,147.39
2013,9,102.8,15.8,9.2,12.5,99.76
2013,10,42.7,9.3,2.5,5.9,91.1
2013,11,31.3,9.1,2.1,5.6,70.89
2014,0,104.0,8.0,2.2,5.1,63.11
2014,1,45.3,9.4,3.1,6.2,98.76
2014,2,34.5,12.0,3.2,7.7,136.83
2014,3,30.2,14.1,5.9,10.0,130.98
2014,4,123.0,16.8,8.3,12.5,175.18
2014,5,55.1,19.2,10.4,14.8,172.78
2014,6,67.2,22.7,12.5,17.6,230.47
2014,7,103.4,19.9,10.8,15.4,191.74
2014,8,15.2,18.8,10.3,14.6,104.95
2014,9,72.7,15.8,8.8,12.3,103.03
2014,10,71.7,11.1,5.3,8.2,49.28
2014,11,51.1,8.0,1.8,4.9,85.94
2015,0,37.7,7.3,0.8,4.0,87.45
2015,1,43.8,7.2,0.9,4.0,99.67
2015,2,34.9,10.5,2.6,6.5,132.56
2015,3,18.7,13.8,3.7,8.8,212.02
2015,4,71.1,15.5,6.6,11.1,184.34
2015,5,46.9,19.0,8.6,13.8,208.33
2015,6,80.1,21.0,11.0,16.0,182.06
2015,7,73.3,21.4,11.8,16.6,171.43
2015,8,22.6,17.3,8.0,12.7,167.06
2015,9,45.7,14.6,7.3,10.9,89.36
2015,10,61.7,12.2,5.6,8.9,48.16
2015,11,60.9,12.2,5.7,9.0,41.76
2016,0,70.8,8.1,2.0,5.1,44.1
2016,1,46.5,8.3,1.2,4.8,113.4
2016,2,78.8,9.5,2.3,5.9,112.9
2016,3,70.6,11.5,2.8,7.1,160.9
2016,4,36.8,16.1,7.2,11.6,190.1
2016,5,72.9,18.3,10.3,14.3,132.2
2016,6,39.6,22.0,12.2,17.1,209.8
2016,7,64.2,22.0,12.5,17.3,209.5
2016,8,42.8,20.5,12.0,16.3,147.5
2016,9,46.9,14.6,7.7,11.1,109.2
2016,10,74.6,8.9,2.3,5.6,82.8
2016,11,28.8,9.0,2.5,5.7,67.4
2017,0,37.52,6.4,0.8,3.6,59.64
2017,1,61.17,8.8,3.4,6.1,66.31
2017,2,44.48,12.5,4.7,8.6,132.06
2017,3,23.36,13.7,3.9,8.8,170.64
2017,4,65.38,17.5,8.4,12.9,195.82
2017,5,91.99,20.7,12.0,16.4,197.18
2017,6,72.03,21.3,11.9,16.6,186.97
2017,7,74.88,20.6,11.4,16.0,203.95
2017,8,83.84,17.9,9.7,13.8,124.33
2017,9,24.39,15.9,9.1,12.5,93.46
2017,10,55.51,9.9,3.3,6.6,92.74
2017,11,50.14,7.3,1.3,4.3,74.2
