YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,59.7,5.4,0.2,2.7,50.21
2009,1,51.6,6.6,1.3,3.8,62.4
2009,2,26.7,10.9,2.2,6.5,152.47
2009,3,15.7,14.1,4.7,9.4,166.93
2009,4,66.0,16.5,7.4,11.9,225.8
2009,5,43.0,18.7,9.6,14.2,207.61
2009,6,112.0,21.1,11.4,16.2,207.58
2009,7,64.2,22.0,12.3,17.1,195.96
2009,8,22.2,18.7,10.1,14.4,149.43
2009,9,67.7,14.6,7.6,11.1,91.9
2009,10,111.5,11.0,4.9,8.0,86.08
2009,11,79.2,5.0,-0.3,2.4,84.79
2010,0,59.5,3.3,-1.2,1.0,52.65
2010,1,77.5,4.5,-0.5,2.0,51.25
2010,2,39.2,10.1,1.9,6.0,125.69
2010,3,28.7,13.8,3.6,8.7,196.92
2010,4,23.6,15.1,5.9,10.5,231.13
2010,5,48.1,19.9,10.0,14.9,237.86
2010,6,33.4,22.7,12.8,17.7,181.53
2010,7,108.5,19.8,11.2,15.5,165.28
2010,8,90.3,17.9,9.9,13.9,126.7
2010,9,53.3,13.5,6.7,10.1,107.14
2010,10,97.3,7.7,2.3,5.0,75.74
2010,11,34.1,1.7,-4.2,-1.3,55.94
2011,0,40.8,6.1,0.7,3.4,53.32
2011,1,64.5,8.8,3.2,6.0,50.18
2011,2,7.1,10.6,2.3,6.5,115.88
2011,3,9.1,16.6,6.0,11.3,217.76
2011,4,30.8,17.3,7.2,12.3,220.69
2011,5,78.8,19.3,9.1,14.2,214.43
2011,6,80.3,20.0,10.5,15.2,169.47
2011,7,60.8,20.4,11.0,15.7,145.67
2011,8,32.9,20.2,10.7,15.5,162.57
2011,9,47.6,16.5,8.0,12.2,125.17
2011,10,27.0,11.8,5.8,8.8,54.24
2011,11,70.5,7.9,1.8,4.8,63.3
2012,0,44.2,8.2,1.7,4.9,72.18
2012,1,19.2,7.0,0.1,3.5,75.32
2012,2,36.7,12.6,2.6,7.6,167.77
2012,3,142.7,10.7,3.0,6.9,106.29
2012,4,42.9,15.4,7.0,11.2,192.82
2012,5,147.0,17.1,9.5,13.3,117.43
2012,6,86.1,19.7,11.2,15.4,169.18
2012,7,80.1,21.5,12.0,16.7,165.93
2012,8,45.8,17.9,8.1,13.0,167.88
2012,9,95.4,12.4,5.4,8.9,91.39
2012,10,111.1,9.2,3.0,6.1,65.99
2012,11,123.1,6.7,1.0,3.8,68.75
2013,0,52.1,5.4,0.1,2.7,49.2
2013,1,34.2,5.3,0.1,2.7,73.84
2013,2,52.1,4.7,-0.4,2.1,73.5
2013,3,14.8,12.0,2.8,7.4,187.85
2013,4,63.4,15.1,5.7,10.4,194.09
2013,5,48.1,17.6,9.2,13.4,163.98
2013,6,37.1,23.1,12.3,17.7,246.77
2013,7,41.7,22.3,12.1,17.2,195.64
2013,8,28.5,18.2,9.2,13.7,146.08
2013,9,123.7,15.6,9.0,12.3,94.48
2013,10,47.7,8.9,2.3,5.6,86.7
2013,11,26.7,8.8,1.7,5.2,69.78
2014,0,115.2,7.8,1.9,4.8,61.16
2014,1,41.2,9.0,2.6,5.8,98.23
2014,2,33.2,11.9,2.6,7.3,140.98
2014,3,32.0,14.0,5.7,9.8,131.45
2014,4,119.3,16.5,8.1,12.3,183.69
2014,5,55.1,19.1,10.2,14.7,185.37
2014,6,55.7,22.7,12.5,17.6,216.71
2014,7,92.5,19.8,10.5,15.2,189.71
2014,8,23.6,18.8,10.2,14.5,108.94
2014,9,117.9,15.5,8.7,12.1,95.1
2014,10,75.8,10.9,5.1,8.0,49.87
2014,11,64.4,7.5,1.6,4.6,81.97
2015,0,38.1,7.0,0.4,3.7,81.11
2015,1,41.3,6.8,0.4,3.6,93.64
2015,2,27.3,10.2,1.9,6.0,135.31
2015,3,19.4,13.8,3.6,8.7,224.42
2015,4,75.7,15.1,6.3,10.7,185.33
2015,5,42.7,18.8,8.5,13.7,218.48
2015,6,75.2,21.0,11.0,16.0,173.74
2015,7,52.5,21.2,11.6,16.4,165.02
2015,8,32.8,17.1,7.8,12.5,174.3
2015,9,64.5,14.2,7.2,10.7,88.77
2015,10,74.6,12.0,5.3,8.7,47.23
2015,11,62.2,12.0,5.7,8.9,43.6
2016,0,75.2,7.7,1.6,4.7,47.4
2016,1,46.6,8.0,0.9,4.5,109.0
2016,2,79.4,9.1,1.7,5.4,116.9
2016,3,72.9,11.3,2.4,6.8,163.7
2016,4,42.0,16.0,7.0,11.5,196.7
2016,5,108.6,18.1,10.4,14.2,120.5
2016,6,51.6,21.8,11.9,16.8,197.0
2016,7,57.1,22.1,12.3,17.2,208.9
2016,8,52.4,20.2,11.8,16.0,139.4
2016,9,66.6,14.2,7.4,10.8,108.8
2016,10,83.6,8.5,2.2,5.4,83.7
2016,11,26.2,8.5,2.1,5.3,61.6
2017,0,49.46,6.0,0.3,3.1,56.23
2017,1,54.42,8.5,3.1,5.8,63.39
2017,2,53.72,12.3,4.3,8.3,126.12
2017,3,20.94,13.4,3.5,8.4,168.99
2017,4,71.24,17.3,8.2,12.8,197.29
2017,5,91.78,20.6,11.9,16.2,184.08
2017,6,84.88,21.1,11.9,16.5,188.14
2017,7,55.2,20.5,11.2,15.8,197.54
2017,8,90.59,17.6,9.3,13.4,119.65
2017,9,16.71,15.5,8.9,12.2,87.72
2017,10,54.08,9.5,3.0,6.3,84.86
2017,11,72.47,7.0,1.2,4.1,76.44
