YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,85.9,5.5,-1.1,2.2,69.62
2009,1,54.5,6.7,-0.2,3.2,57.88
2009,2,36.7,9.9,1.4,5.6,164.89
2009,3,33.2,11.9,4.5,8.2,128.8
2009,4,88.3,14.4,4.9,9.6,233.76
2009,5,77.8,16.7,8.0,12.3,177.62
2009,6,142.0,19.0,9.7,14.3,177.64
2009,7,111.9,18.4,10.5,14.5,164.33
2009,8,58.7,17.3,8.1,12.7,136.62
2009,9,142.3,13.1,5.5,9.3,89.15
2009,10,155.8,9.2,2.0,5.5,73.73
2009,11,68.6,4.4,-3.4,0.5,33.31
2010,0,81.2,3.7,-2.5,0.6,47.55
2010,1,80.1,4.3,-2.9,0.7,72.36
2010,2,45.3,8.5,0.6,4.5,116.9
2010,3,32.9,11.7,3.3,7.5,165.4
2010,4,44.4,13.6,4.2,8.9,204.77
2010,5,27.1,18.1,8.7,13.4,163.86
2010,6,127.4,18.6,9.2,13.9,159.14
2010,7,62.8,17.5,9.0,13.3,148.25
2010,8,90.0,15.8,7.8,11.8,126.0
2010,9,72.4,11.8,4.5,8.2,92.85
2010,10,126.1,6.4,-0.4,3.0,64.51
2010,11,38.8,2.1,-5.5,-1.7,57.06
2011,0,48.3,5.4,-1.6,1.9,58.17
2011,1,113.1,7.0,0.3,3.6,51.04
2011,2,69.0,9.1,1.4,5.3,126.6
2011,3,10.0,14.7,5.1,9.9,193.83
2011,4,107.0,14.3,5.4,9.9,217.06
2011,5,97.8,16.3,7.6,11.9,155.11
2011,6,122.6,17.1,8.4,12.8,146.8
2011,7,140.8,16.7,9.3,13.0,117.16
2011,8,87.0,17.0,8.5,12.7,125.96
2011,9,68.7,13.3,6.7,10.0,76.03
2011,10,74.5,11.1,4.4,7.8,57.62
2011,11,64.7,6.4,-0.5,3.0,53.62
2012,0,43.5,6.4,-0.5,2.9,81.17
2012,1,25.9,8.3,0.8,4.5,74.09
2012,2,14.3,12.8,2.9,7.8,169.17
2012,3,123.7,8.7,2.3,5.5,92.48
2012,4,50.3,13.1,4.5,8.8,196.43
2012,5,148.8,14.1,7.7,10.9,100.62
2012,6,127.0,16.6,8.7,12.7,92.76
2012,7,115.0,17.9,10.2,14.1,128.06
2012,8,42.9,16.0,6.7,11.3,151.96
2012,9,107.8,10.6,2.5,6.5,95.11
2012,10,53.6,8.3,0.5,4.4,79.25
2012,11,191.6,5.7,-0.2,2.7,39.75
2013,0,108.8,5.3,-0.1,2.6,34.24
2013,1,43.3,6.0,-1.2,2.4,83.97
2013,2,66.9,4.3,-1.2,1.6,72.16
2013,3,46.1,9.7,2.2,6.0,168.85
2013,4,71.8,13.8,5.0,9.4,172.3
2013,5,36.9,16.9,7.9,12.4,154.45
2013,6,76.8,21.1,10.6,15.9,218.59
2013,7,38.0,19.2,10.3,14.7,138.23
2013,8,23.9,16.8,7.6,12.2,130.77
2013,9,136.4,13.2,6.6,9.9,64.15
2013,10,34.9,7.9,-0.3,3.8,105.48
2013,11,120.9,8.0,1.6,4.8,41.56
2014,0,183.7,6.3,0.8,3.5,35.05
2014,1,114.4,7.2,1.2,4.2,71.3
2014,2,38.4,9.6,2.4,6.0,132.33
2014,3,54.0,11.7,4.8,8.2,137.6
2014,4,55.6,14.2,6.7,10.5,138.48
2014,5,84.1,17.6,9.8,13.7,117.14
2014,6,81.2,20.2,9.6,14.9,222.4
2014,7,127.6,16.9,8.7,12.8,156.13
2014,8,23.0,17.3,8.7,13.0,98.85
2014,9,130.0,13.5,6.0,9.8,71.05
2014,10,169.7,9.8,3.8,6.8,41.52
2014,11,35.7,6.3,-1.0,2.6,77.56
2015,0,74.1,5.6,-0.7,2.5,86.06
2015,1,33.2,6.9,-0.8,3.1,108.02
2015,2,48.4,8.8,1.4,5.1,132.11
2015,3,31.3,12.3,2.6,7.5,226.35
2015,4,89.1,13.0,4.3,8.6,194.04
2015,5,49.7,16.5,7.2,11.8,167.49
2015,6,167.0,17.3,8.6,12.9,146.05
2015,7,85.7,18.0,9.7,13.9,183.75
2015,8,35.7,16.1,6.8,11.5,130.42
2015,9,83.4,13.3,4.6,9.0,102.9
2015,10,95.9,9.1,2.4,5.8,62.1
2015,11,156.9,9.2,2.3,5.7,34.57
2016,0,247.7,6.1,0.2,3.2,31.0
2016,1,52.4,6.4,-1.5,2.5,93.7
2016,2,34.8,8.9,1.4,5.1,111.8
2016,3,86.4,9.2,2.3,5.7,142.9
2016,4,25.4,14.7,6.2,10.4,194.5
2016,5,125.1,16.2,8.5,12.4,145.9
2016,6,121.0,18.6,9.5,14.1,160.6
2016,7,52.0,18.4,10.2,14.3,159.9
2016,8,41.9,18.1,9.5,13.8,122.1
2016,9,82.8,12.8,4.9,8.9,97.4
2016,10,56.6,7.4,-1.1,3.1,91.9
2016,11,38.6,8.9,1.9,5.4,32.6
2017,0,66.67,6.6,-0.3,3.2,82.13
2017,1,78.3,7.6,0.9,4.3,65.68
2017,2,69.45,10.3,1.9,6.1,137.77
2017,3,25.87,12.0,3.6,7.8,179.98
2017,4,28.27,15.5,6.5,11.0,205.24
2017,5,122.31,17.3,9.6,13.4,129.59
2017,6,91.24,18.0,9.4,13.7,155.5
2017,7,91.78,18.1,9.4,13.8,163.77
2017,8,78.89,15.8,8.0,11.9,108.95
2017,9,58.91,14.1,6.5,10.3,81.86
2017,10,84.99,7.4,0.5,4.0,89.64
2017,11,42.93,6.4,-0.5,3.0,52.95
