YEAR,MONTH,PRCP,TMAX,TMIN,TMED,TSUN
2009,0,51.2,6.5,0.5,3.5,68.43
2009,1,20.4,7.2,2.0,4.5,41.48
2009,2,31.1,11.2,3.2,7.2,137.95
2009,3,39.3,15.3,5.4,10.4,188.26
2009,4,66.5,16.8,7.9,12.3,195.03
2009,5,53.7,20.3,9.9,15.1,199.46
2009,6,119.7,20.4,12.5,16.5,150.2
2009,7,54.7,20.8,12.8,16.8,150.55
2009,8,32.2,18.0,10.0,14.0,112.43
2009,9,53.8,15.2,7.5,11.3,86.16
2009,10,139.7,11.1,5.4,8.2,61.32
2009,11,79.1,5.8,0.1,2.9,70.78
2010,0,57.0,4.1,-1.2,1.4,73.51
2010,1,63.4,5.8,-0.6,2.6,57.12
2010,2,45.7,10.6,2.0,6.3,133.33
2010,3,23.8,14.4,3.9,9.2,187.78
2010,4,20.9,16.0,6.6,11.3,187.73
2010,5,25.2,21.1,10.3,15.7,240.34
2010,6,81.0,20.8,13.2,17.0,103.11
2010,7,80.4,19.4,11.4,15.4,145.83
2010,8,91.2,18.1,10.2,14.1,134.07
2010,9,85.0,14.1,6.3,10.2,136.54
2010,10,64.6,8.2,1.8,5.0,95.79
2010,11,26.5,2.8,-4.6,-0.9,64.81
2011,0,57.3,6.5,1.0,3.8,56.92
2011,1,99.2,9.5,4.2,6.8,50.52
2011,2,15.2,11.4,2.3,6.9,155.84
2011,3,15.1,17.1,6.6,11.9,224.28
2011,4,67.5,16.7,8.6,12.6,165.4
2011,5,59.9,19.0,9.3,14.2,195.03
2011,6,60.9,20.3,10.8,15.6,197.92
2011,7,70.9,19.6,11.8,15.7,122.74
2011,8,42.5,19.2,11.4,15.4,144.34
2011,9,86.8,16.1,9.2,12.6,100.79
2011,10,38.2,12.3,6.5,9.4,84.7
2011,11,154.8,8.8,3.6,6.2,35.35
2012,0,84.3,8.5,2.7,5.6,73.15
2012,1,41.7,7.6,1.8,4.7,61.92
2012,2,20.2,13.4,4.2,8.8,163.5
2012,3,111.4,11.3,3.8,7.6,110.51
2012,4,65.2,16.8,7.3,12.1,213.67
2012,5,140.4,17.2,10.2,13.7,105.71
2012,6,104.1,19.6,12.2,15.9,148.56
2012,7,82.5,21.3,13.0,17.1,144.73
2012,8,136.9,17.3,9.4,13.3,140.96
2012,9,79.4,13.0,5.8,9.4,108.36
2012,10,83.4,9.8,3.0,6.4,74.18
2012,11,161.4,7.4,1.4,4.4,64.02
2013,0,63.3,6.0,1.4,3.7,44.86
2013,1,49.4,6.3,0.2,3.3,83.2
2013,2,38.2,6.4,-1.0,2.7,120.91
2013,3,19.9,12.1,2.7,7.4,158.51
2013,4,73.2,14.8,6.3,10.6,174.34
2013,5,47.2,18.7,8.9,13.8,193.69
2013,6,71.8,24.1,12.1,18.1,282.31
2013,7,52.9,21.2,12.4,16.8,150.69
2013,8,50.9,17.6,9.6,13.6,110.84
2013,9,132.8,15.5,9.6,12.5,75.15
2013,10,59.5,9.4,2.7,6.1,84.56
2013,11,76.8,9.5,3.4,6.4,59.24
2014,0,122.7,8.4,3.3,5.8,43.02
2014,1,75.1,8.9,3.7,6.3,66.56
2014,2,54.7,11.7,3.1,7.4,134.5
2014,3,40.7,14.7,6.3,10.5,128.42
2014,4,114.7,16.4,8.3,12.4,138.94
2014,5,41.5,20.1,10.4,15.2,180.54
2014,6,57.3,22.7,12.0,17.4,237.35
2014,7,127.0,19.2,11.1,15.1,153.76
2014,8,9.1,19.7,9.5,14.6,126.84
2014,9,83.1,15.6,8.7,12.1,64.99
2014,10,61.0,11.2,5.4,8.3,51.13
2014,11,114.4,8.2,2.1,5.2,46.26
2015,0,82.8,7.2,1.8,4.5,55.56
2015,1,44.1,7.2,1.2,4.2,58.69
2015,2,74.2,10.2,2.0,6.1,104.42
2015,3,30.2,14.6,3.7,9.1,205.68
2015,4,113.6,14.7,7.2,11.0,130.97
2015,5,38.9,19.2,8.7,13.9,193.67
2015,6,66.9,20.0,11.2,15.6,171.56
2015,7,72.9,20.4,11.5,16.0,146.51
2015,8,41.8,17.5,7.6,12.5,175.42
2015,9,48.5,14.8,6.7,10.8,94.9
2015,10,149.5,12.3,6.4,9.3,31.16
2015,11,105.5,12.3,6.2,9.3,32.55
2016,0,113.9,8.5,2.9,5.7,38.4
2016,1,100.7,8.3,1.4,4.8,86.0
2016,2,87.6,9.9,1.9,5.9,116.1
2016,3,86.2,11.9,3.3,7.6,154.1
2016,4,76.9,17.5,7.8,12.6,220.8
2016,5,160.4,19.8,11.7,15.7,120.3
2016,6,63.8,20.5,12.6,16.5,137.5
2016,7,69.3,20.8,12.6,16.7,186.6
2016,8,74.1,19.9,12.1,16.0,139.0
2016,9,31.7,14.6,6.7,10.6,115.5
2016,10,111.2,8.6,1.6,5.1,73.2
2016,11,42.7,9.3,3.3,6.3,50.6
2017,0,69.12,7.0,1.9,4.4,51.89
2017,1,75.04,8.8,3.8,6.3,48.38
2017,2,99.31,12.5,4.5,8.5,132.04
2017,3,24.94,13.3,5.0,9.2,161.23
2017,4,56.68,18.3,8.4,13.3,218.14
2017,5,85.5,19.8,11.8,15.8,138.36
2017,6,86.78,21.0,11.9,16.5,176.91
2017,7,79.93,19.8,11.4,15.6,158.36
2017,8,130.41,17.2,9.7,13.5,95.29
2017,9,97.45,15.3,9.3,12.3,77.69
2017,10,98.41,10.2,3.6,6.9,81.05
2017,11,100.31,7.7,1.9,4.8,42.33
